"Instructor","Course","Term","Enroll","Evals Made","Rcmnd Class","Rcmnd Instr","Study Hrs/wk","Avg Grade Expected","Avg Grade Received"
"Seshadri, Kalyanasundaram","CENG 102 - Chemical Engin Thermodynamics  (A)","SP08","59","34","71.9%","71.0%","6.91","B (3.19)","B- (2.76)"
"Chau, Pao C.","CENG 124B  - Chem Plant & Process Design II (A)","SP08","29","23","86.4%","77.3%","14.85","B+ (3.48)","B+ (3.42)"
"Chau, Pao C.","CENG 176B  - Chem Engineerng Process Lab II (A)","SP08","29","25","87.5%","75.0%","9.94","B+ (3.40)","B+ (3.46)"
"Herz, Richard K","CENG 176B  - Chem Engineerng Process Lab II (A)","SP08","29","25","87.5%","75.0%","9.94","B+ (3.40)","B+ (3.46)"
"Talbot, Jan B","CENG 1 - Scope of Chemical Engineering  (A)","WI08","91","69","89.4%","92.5%","0.95","B+ (3.33)","N/A"
"Herz, Richard K","CENG 100 - Process Modl&Computn/Chem Engn (A)","WI08","79","51","74.5%","69.4%","6.34","B+ (3.39)","B- (2.82)"
"Llewellyn Smith, Stefan G.","CENG 101B  - Heat Transfer                  (A)","WI08","55","36","71.4%","80.6%","10.11","B (3.09)","C+ (2.64)"
"Herz, Richard K","CENG 113 - Chemical Reaction Engineering  (A)","WI08","39","20","88.9%","82.4%","9.10","B (3.26)","B (3.04)"
"Chau, Pao C.","CENG 124A  - Chem Plant & Process Design I  (A)","WI08","29","18","77.8%","52.9%","13.61","B (3.25)","B+ (3.32)"
"Chau, Pao C.","CENG 176A  - Chem Engineerng Process Lab I  (A)","WI08","29","11","100.0%","90.9%","10.68","B (3.09)","B (3.11)"
"Talbot, Jan B","CENG 176A  - Chem Engineerng Process Lab I  (A)","WI08","29","11","100.0%","90.9%","10.68","B (3.09)","B (3.11)"
"Krasheninnikov, Sergei","CENG 101A  - Introductory Fluid Mechanics   (A)","FA07","92","43","65.9%","68.3%","9.60","B (3.24)","B- (2.78)"
"Talbot, Jan B","CENG 122 - Separation Processes           (A)","FA07","27","22","90.9%","86.4%","11.14","B (3.14)","B- (2.87)"
