"Instructor","Course","Term","Enroll","Evals Made","Rcmnd Class","Rcmnd Instr","Study Hrs/wk","Avg Grade Expected","Avg Grade Received"
"Iatarola, Briana Marie","ENVR 140 - Wilderness and Human Values (A)","SP21","61","47","97.9%","100.0%","2.97","B+ (3.64)","A- (3.73)"
"Herbst, Matthew","ENVR 87 - Freshman Seminar (A)","SP21","9","3","100.0%","100.0%","1.17","N/A","N/A"
"Herbst, Matthew","ENVR 142GS - Wilderness & Hum Values Abroad (A)","S119","18","8","100.0%","100.0%","6.25","B+ (3.63)","N/A"
"Daly, Heather Marie","ENVR 102 - Selected Topics/Environmntl St (B)","SP19","15","6","100.0%","100.0%","5.17","A- (3.80)","N/A"
"Herbst, Matthew","ENVR 140 - Wilderness and Human Values (A)","SP19","55","24","95.7%","95.7%","5.11","B+ (3.55)","B+ (3.33)"
"Herbst, Matthew","ENVR 87 - Freshman Seminar (A)","SP19","13","6","100.0%","100.0%","1.17","A (4.00)","N/A"
"Herbst, Matthew","ENVR 87 - Freshman Seminar (B)","SP19","14","9","100.0%","100.0%","0.72","N/A","N/A"
"Patterson, Timothy Raymond","ENVR 110 - Environmental Law (B)","WI19","62","28","76.9%","88.5%","3.91","B (3.29)","B+ (3.36)"
"Talley, Theresa S.","ENVR 120 - Coastal Ecology (A)","WI19","19","13","92.3%","100.0%","4.19","A- (3.83)","N/A"
"Herbst, Matthew","ENVR 141 - Wilderness & HumanValue Worksh (A)","WI19","6","3","100.0%","100.0%","3.83","A (4.00)","N/A"
"Henter, Heather J.","ENVR 102 - Selected Topics/Environmntl St (A)","FA18","22","19","94.7%","100.0%","3.45","B+ (3.68)","B+ (3.37)"
"Shaheen, Robina","ENVR 30 - Environmental Issues:Nat Sci (A)","FA18","142","116","54.3%","40.9%","3.74","B+ (3.42)","B+ (3.53)"
"Talley, Theresa S.","ENVR 120 - Coastal Ecology (A)","SP18","18","4","100.0%","100.0%","4.00","B+ (3.67)","N/A"
"Herbst, Matthew","ENVR 140 - Wilderness and Human Values (A)","SP18","48","21","85.0%","84.2%","4.90","B+ (3.44)","B (3.11)"
"Henter, Heather J.","ENVR 102 - Selected Topics/Environmntl St (A)","WI18","22","18","72.2%","83.3%","4.06","B+ (3.35)","B+ (3.34)"
"Ochoa, Edward Henry","ENVR 110 - Environmental Law (A)","WI18","63","20","100.0%","94.4%","5.94","B (3.23)","B- (2.78)"
"Gowan, Jennifer","ENVR 30 - Environmental Issues:Nat Sci (A)","FA17","118","63","88.5%","89.8%","4.25","B+ (3.47)","A- (3.71)"
"Herbst, Matthew","ENVR 140 - Wilderness and Human Values (A)","S217","10","8","87.5%","87.5%","10.00","B+ (3.50)","N/A"
"Talley, Theresa S.","ENVR 120 - Coastal Ecology (A)","SP17","22","22","100.0%","100.0%","3.83","B+ (3.57)","A- (3.89)"
"Herbst, Matthew","ENVR 140 - Wilderness and Human Values (A)","SP17","21","12","100.0%","100.0%","6.17","B+ (3.38)","B+ (3.44)"
"Ochoa, Edward Henry","ENVR 110 - Environmental Law (A)","WI17","66","27","92.0%","88.0%","6.74","B- (2.95)","C+ (2.59)"
"Herbst, Matthew","ENVR 141 - Wilderness & HumanValue Worksh (A)","WI17","5","5","100.0%","100.0%","6.90","A (4.00)","N/A"
"Gowan, Jennifer","ENVR 30 - Environmental Issues:Nat Sci (A)","FA16","115","56","78.6%","64.3%","4.28","B (3.24)","B (3.18)"
"Eckles, Megan Alma","ENVR 102 - Selected Topics/Environmntl St (A)","SP16","27","13","100.0%","100.0%","3.58","B+ (3.67)","A- (3.76)"
