"Instructor","Course","Term","Enroll","Evals Made","Rcmnd Class","Rcmnd Instr","Study Hrs/wk","Avg Grade Expected","Avg Grade Received"
"McCleary, Keith Long","WCWP 100 - Academic Writing (0)","WI22","59","55","98.2%","100.0%","6.72","B+ (3.42)","B+ (3.36)"
"Twohig, Niall Ivan","WCWP 100 - Academic Writing (0)","WI22","60","36","100.0%","100.0%","5.61","A- (3.77)","B+ (3.68)"
"Young, Mark T","WCWP 100 - Academic Writing (0)","WI22","55","20","84.2%","89.5%","5.66","B (3.26)","B (3.29)"
"Gagnon, Jeffrey C","WCWP 10A - The Writing Course A (0)","WI22","250","111","89.8%","94.2%","4.28","A- (3.80)","B+ (3.69)"
"Gagnon, Jeffrey C","WCWP 10B - The Writing Course B (0)","WI22","388","176","93.5%","96.9%","4.10","A- (3.90)","A- (3.81)"
"McCleary, Keith Long","WCWP 100 - Academic Writing (0)","FA21","59","57","93.0%","100.0%","5.59","B+ (3.51)","B+ (3.49)"
"Twohig, Niall Ivan","WCWP 100 - Academic Writing (0)","FA21","58","31","100.0%","100.0%","7.15","B+ (3.63)","B+ (3.61)"
"Young, Mark T","WCWP 100 - Academic Writing (0)","FA21","59","19","94.1%","100.0%","7.21","B+ (3.47)","B+ (3.33)"
"Gagnon, Jeffrey C","WCWP 10A - The Writing Course A (0)","FA21","596","308","94.2%","97.8%","4.22","A- (3.84)","A- (3.74)"
"Gagnon, Jeffrey C","WCWP 10B - The Writing Course B (0)","FA21","59","23","90.0%","90.0%","4.80","A- (3.80)","B+ (3.63)"
"Tocki, Jasmine Rae","WCWP 100 - Academic Writing (A)","S221","16","6","100.0%","100.0%","9.17","A- (3.80)","N/A"
"Gagnon, Jeffrey C","WCWP 100 - Academic Writing (B)","S221","13","10","100.0%","100.0%","10.28","A- (3.83)","N/A"
"Short, Vincent James","WCWP 10B - The Writing Course B (A)","S221","13","10","90.0%","100.0%","9.90","B (3.25)","N/A"
"Twohig, Niall Ivan","WCWP 100 - Academic Writing (B)","S121","13","7","100.0%","85.7%","6.79","A (4.00)","N/A"
"Short, Vincent James","WCWP 10B - The Writing Course B (A)","S121","14","6","83.3%","100.0%","9.17","B+ (3.33)","N/A"
"Iatarola, Briana Marie","WCWP 10B - The Writing Course B (B)","S121","14","13","100.0%","100.0%","7.27","B+ (3.67)","N/A"
"McCleary, Keith Long","WCWP 100 - Academic Writing (A)","SP21","18","17","82.4%","100.0%","6.50","B (3.29)","N/A"
"McCleary, Keith Long","WCWP 100 - Academic Writing (B)","SP21","18","16","68.8%","87.5%","7.00","B- (2.93)","N/A"
"Twohig, Niall Ivan","WCWP 100 - Academic Writing (C)","SP21","20","10","88.9%","100.0%","6.06","B+ (3.57)","B+ (3.66)"
"Twohig, Niall Ivan","WCWP 100 - Academic Writing (D)","SP21","21","7","100.0%","100.0%","5.07","A- (3.80)","B+ (3.63)"
"Young, Mark T","WCWP 100 - Academic Writing (E)","SP21","19","5","60.0%","80.0%","3.30","A- (3.80)","N/A"
"Young, Mark T","WCWP 100 - Academic Writing (F)","SP21","16","3","100.0%","100.0%","12.50","A (4.00)","N/A"
"Gagnon, Jeffrey C","WCWP 10A - The Writing Course A (0)","SP21","86","23","94.7%","88.9%","6.50","B+ (3.38)","B+ (3.33)"
"Gagnon, Jeffrey C","WCWP 10B - The Writing Course B (0)","SP21","502","199","90.0%","96.6%","4.93","B+ (3.54)","B+ (3.53)"
"McCleary, Keith Long","WCWP 100 - Academic Writing (A)","S219","17","15","80.0%","100.0%","14.64","B+ (3.57)","N/A"
"Gagnon, Jeffrey C","WCWP 100 - Academic Writing (B)","S219","16","7","85.7%","100.0%","11.36","B+ (3.50)","N/A"
"Short, Vincent James","WCWP 10B - The Writing Course B (A)","S219","16","14","85.7%","100.0%","9.64","B (3.21)","N/A"
"Zimmerman-Liu, Teresa Jean","WCWP 10B - The Writing Course B (B)","S219","14","13","84.6%","100.0%","8.81","B+ (3.31)","N/A"
"Kolodezh, Samuel","WCWP 10B - The Writing Course B (C)","S219","15","9","77.8%","100.0%","9.61","B+ (3.56)","N/A"
"Zimmerman-Liu, Teresa Jean","WCWP 100 - Academic Writing (A)","S119","17","15","93.3%","100.0%","11.30","B (3.27)","N/A"
"Kolodezh, Samuel","WCWP 100 - Academic Writing (B)","S119","15","10","90.0%","100.0%","7.70","B+ (3.30)","N/A"
"Young, Mark T","WCWP 100 - Academic Writing (C)","S119","8","3","66.7%","66.7%","8.50","C+ (2.67)","N/A"
"Setoda, Kayleigh Kumiko","WCWP 10B - The Writing Course B (A)","S119","17","12","83.3%","100.0%","6.50","B (3.18)","N/A"
"Tocki, Jasmine Rae","WCWP 10B - The Writing Course B (B)","S119","14","12","100.0%","100.0%","6.83","B+ (3.33)","N/A"
"McCleary, Keith Long","WCWP 100 - Academic Writing (A)","SP19","19","18","83.3%","94.4%","8.06","B (3.06)","N/A"
"Blomstedt, Elizabeth Ann","WCWP 100 - Academic Writing (B)","SP19","20","6","100.0%","100.0%","4.50","B+ (3.60)","B+ (3.42)"
"McCleary, Keith Long","WCWP 100 - Academic Writing (C)","SP19","20","19","84.2%","94.4%","8.39","B- (2.95)","B (3.17)"
"Gagnon, Jeffrey C","WCWP 100 - Academic Writing (D)","SP19","19","15","100.0%","100.0%","7.17","B- (2.93)","N/A"
"Young, Mark T","WCWP 100 - Academic Writing (E)","SP19","19","6","83.3%","100.0%","4.50","B (3.00)","N/A"
