"Instructor","Course","Term","Enroll","Evals Made","Rcmnd Class","Rcmnd Instr","Study Hrs/wk","Avg Grade Expected","Avg Grade Received"
"Qi, Huihui","MAE 30A - Statics & Intro to Dynamics (A)","S222","25","23","100.0%","100.0%","7.20","B+ (3.43)","B- (2.89)"
"Bahadori, Mohammad Yousef","MAE 30B - Dynamics and Vibrations (A)","S222","23","14","78.6%","92.9%","10.21","B (3.00)","B- (2.84)"
"Bewley, Thomas R","MAE 40 - Linear Circuits (A)","S222","23","10","30.0%","10.0%","10.10","C- (1.90)","C (2.22)"
"Lynch, James Edmund","MAE 8 - MATLAB Program for Engr Analys (A)","S222","30","28","96.4%","100.0%","8.06","B (3.14)","B+ (3.32)"
"Bahadori, Mohammad Yousef","MAE 101A - Introductory Fluid Mechanics (A)","S122","21","15","93.3%","73.3%","11.57","B- (2.73)","B- (2.86)"
"Bilgin, Eylul","MAE 104 - Aerodynamics (A)","S122","16","5","80.0%","80.0%","6.90","B (3.20)","N/A"
"Bandaru, Prabhakar","MAE 105 - Intro to Mathematical Physics (A)","S122","20","3","100.0%","100.0%","6.50","B+ (3.50)","B+ (3.53)"
"Bahadori, Mohammad Yousef","MAE 11 - Thermodynamics (A)","S122","35","23","91.3%","82.6%","9.98","B- (2.91)","C+ (2.50)"
"Bewley, Thomas R","MAE 143A - Signals and Systems (A)","S122","26","12","58.3%","50.0%","8.50","C+ (2.50)","B (3.20)"
"Evdokimenko, Ekaterina","MAE 20 - Elements of Materials Science (A)","S122","26","11","100.0%","100.0%","7.59","A- (3.73)","B+ (3.35)"
"Nomura, Keiko K.","MAE 101B - Advanced Fluid Mechanics (A)","SP22","97","89","92.0%","96.6%","8.16","B (3.19)","B- (2.79)"
"Miller, David R.","MAE 101B - Advanced Fluid Mechanics (B)","SP22","71","43","88.4%","76.7%","9.76","B (3.16)","B (3.12)"
"Bahadori, Mohammad Yousef","MAE 101C - Heat Transfer (A)","SP22","65","54","85.2%","77.8%","7.91","B (3.15)","B- (2.81)"
"Coimbra, Carlos F.","MAE 101D - Intermediate Heat Transfer (A)","SP22","10","7","100.0%","100.0%","7.50","A- (3.83)","N/A"
"Saintillan, David","MAE 105 - Intro to Mathematical Physics (A)","SP22","95","46","78.3%","95.7%","7.80","B (3.17)","B (3.06)"
"Davidson, Michael R","MAE 107 - Computational Methods/Engineer (A)","SP22","33","30","66.7%","70.0%","8.63","B- (2.80)","C+ (2.54)"
"McEneaney, William Michael","MAE 107 - Computational Methods/Engineer (B)","SP22","64","35","79.4%","79.4%","6.56","B (3.06)","B- (3.00)"
"Becker, Janet Maria","MAE 108 - Prob & Stats/Method/Mech Eng (A)","SP22","105","60","83.1%","86.4%","7.48","B (3.25)","B (3.17)"
"Becker, Janet Maria","MAE 123 - Intro/Transprt in Porous Media (A)","SP22","12","4","75.0%","100.0%","4.00","A- (3.75)","N/A"
"Bahadori, Mohammad Yousef","MAE 130 - Advanced Vibrations (A)","SP22","23","16","81.3%","87.5%","7.25","B (3.06)","B (3.02)"
"Kamensky, David M","MAE 131A - Solid Mechanics I (A)","SP22","51","44","95.5%","88.6%","6.82","B (3.05)","B- (3.00)"
"Qi, Huihui","MAE 131A - Solid Mechanics I (B)","SP22","99","90","92.1%","92.0%","7.29","B (3.17)","C+ (2.58)"
"Lubarda, Marko","MAE 131A - Solid Mechanics I (C)","SP22","99","52","90.2%","88.0%","7.06","B (3.14)","B (3.12)"
"Frazier, Michael","MAE 131B - Solid Mechanics II (A)","SP22","19","13","84.6%","92.3%","5.88","B- (2.92)","N/A"
"Morimoto, Tania","MAE 143B - Linear Control (B)","SP22","190","177","79.1%","94.4%","9.11","B- (2.97)","B- (2.85)"
"Silberman, Jack","MAE 148 - Intro to Autonomous Vehicles (A)","SP22","12","8","71.4%","57.1%","13.07","B+ (3.67)","N/A"
"Talke, Frank E","MAE 150 - Computer-Aided Design (A)","SP22","40","34","82.4%","66.7%","9.97","B (3.00)","C+ (2.62)"
"Hwang, John T","MAE 155B - Aerospace Engineering Desgn II (A)","SP22","19","15","100.0%","100.0%","12.63","A- (3.73)","N/A"
"Anderson, Mark Ronald","MAE 155B - Aerospace Engineering Desgn II (B)","SP22","53","16","100.0%","93.8%","6.25","A- (3.88)","A- (3.98)"
"Delson, Nathan Joseph","MAE 156B - Fund. Prin/Mechanical Desgn II (A)","SP22","21","12","91.7%","100.0%","17.83","A- (3.75)","A- (3.75)"
"Gillett, David S","MAE 156B - Fund. Prin/Mechanical Desgn II (B)","SP22","24","13","100.0%","100.0%","11.00","B+ (3.45)","A- (3.75)"
"Tustaniwskyj, Jerry I","MAE 156B - Fund. Prin/Mechanical Desgn II (C)","SP22","20","5","100.0%","100.0%","11.70","A (4.00)","B+ (3.67)"
"Ghazinejad, Maziar","MAE 156B - Fund. Prin/Mechanical Desgn II (D)","SP22","20","9","77.8%","100.0%","12.06","B+ (3.44)","A- (3.97)"
"Xu, Sheng","MAE 166 - Modern Concepts/Nanotechnology (A)","SP22","47","21","85.0%","90.0%","3.90","B (3.17)","A- (3.75)"
"Boechler, Nicholas Sebastia","MAE 170 - Experimental Techniques (A)","SP22","125","93","85.9%","96.7%","10.74","B+ (3.40)","B+ (3.54)"
"Lucas, Andrew J.","MAE 170 - Experimental Techniques (B)","SP22","128","111","75.5%","89.0%","9.10","B+ (3.47)","B+ (3.62)"
"Bahadori, Mohammad Yousef","MAE 180A - Spacecraft Guidance I (A)","SP22","137","114","92.0%","90.3%","6.72","B (3.17)","B (3.28)"
"Anderson, Mark Ronald","MAE 184 - Flight Simulation Techniques (A)","SP22","44","14","100.0%","92.9%","4.50","A- (3.85)","B+ (3.56)"
"Beg, Farhat N.","MAE 190 - Topics in Mech and Aero Eng (A)","SP22","12","5","100.0%","100.0%","6.00","A (4.00)","N/A"
"Qi, Huihui","MAE 3 - Intro/Engineering Graphcs&Desn (A)","SP22","92","85","86.9%","97.6%","14.23","B+ (3.38)","B+ (3.44)"
"Lubarda, Marko","MAE 3 - Intro/Engineering Graphcs&Desn (B)","SP22","88","35","82.9%","80.0%","12.67","B (3.29)","B (3.30)"
"Delson, Nathan Joseph","MAE 30B - Dynamics and Vibrations (A)","SP22","105","58","67.9%","35.7%","7.05","B- (2.78)","C (2.20)"
"Ghazinejad, Maziar","MAE 30B - Dynamics and Vibrations (B)","SP22","128","117","94.8%","97.4%","7.59","B (3.01)","B- (2.95)"
"Pham, Hieu Tan","MAE 8 - MATLAB Program for Engr Analys (A)","SP22","181","65","95.2%","90.3%","7.81","B+ (3.46)","B (3.12)"
"Delson, Nathan Joseph","MAE 87 - Freshman Seminar (A)","SP22","14","13","100.0%","100.0%","1.23","A- (3.75)","N/A"
