"Instructor","Course","Term","Enroll","Evals Made","Rcmnd Class","Rcmnd Instr","Study Hrs/wk","Avg Grade Expected","Avg Grade Received"
"Li, Huai","VIS 105D - Aesthetics/Chinese Calligraphy (A)","S122","25","4","100.0%","100.0%","5.50","A- (3.75)","A- (3.74)"
"Tronzo, William","VIS 122GS - The City In Italy (A)","S122","28","9","100.0%","100.0%","3.17","A (4.00)","A (4.00)"
"Yoldas, Pinar","VIS 149 - Contemporary Computer Topics (A)","S122","20","7","83.3%","83.3%","9.17","B+ (3.67)","A- (3.95)"
"Anderson, Shane Nicholas","VIS 60 - Intro/Digital Photography (A)","S122","47","9","100.0%","100.0%","6.21","A (4.00)","A- (3.86)"
"Kiratli, Solen","VIS 10 - Computing Arts Lecture Series (A)","SP22","234","84","86.7%","92.8%","2.70","A- (3.79)","B+ (3.62)"
"Cruz, Edwin Teddy","VIS 102 - Democratizing the City (A)","SP22","75","29","92.6%","96.3%","4.94","B+ (3.70)","B+ (3.47)"
"Cruz, Edwin Teddy","VIS 103 - Architectural Practices (A)","SP22","68","20","94.4%","100.0%","3.94","A- (3.87)","A- (3.72)"
"Adler, Amy","VIS 105A - Drawing: Representing/Subject (A)","SP22","34","22","100.0%","100.0%","7.55","A- (3.90)","A- (3.81)"
"Li, Huai","VIS 105E - Chin Calligraphy/Installation (A)","SP22","15","6","100.0%","100.0%","5.83","A- (3.83)","N/A"
"Vangenderen, Monique Luise","VIS 106A - Painting:  Image Making (A)","SP22","24","9","100.0%","100.0%","9.75","A- (3.75)","A- (3.85)"
"Ortiz-Torres, Ruben","VIS 106B - Painting: Practices and Genre (A)","SP22","25","9","87.5%","50.0%","6.00","B+ (3.38)","A- (3.74)"
"Vangenderen, Monique Luise","VIS 106C - Painting: Portfolio Projects (A)","SP22","14","7","100.0%","100.0%","9.83","B+ (3.67)","N/A"
"Gallaccio, Anya","VIS 107A - Sculpture: Making the Object (A)","SP22","26","5","80.0%","100.0%","6.10","B+ (3.60)","A- (3.89)"
"Ortiz-Torres, Ruben","VIS 108 - Advanced Projects in Art (A)","SP22","18","5","100.0%","100.0%","4.50","B+ (3.50)","N/A"
"Gallaccio, Anya","VIS 110G - Natural & Altered Environment (A)","SP22","18","8","87.5%","100.0%","5.75","B+ (3.63)","N/A"
"Dean, Danielle Adobi","VIS 110N - Studio Honors II (A)","SP22","12","9","100.0%","100.0%","13.00","A (4.00)","N/A"
"Tronzo, William","VIS 114A - Landscape and Memory (A)","SP22","21","3","100.0%","100.0%","3.17","B+ (3.67)","A- (3.85)"
"Rose, Jordan M","VIS 124E - The Production of Nature (A)","SP22","32","5","100.0%","100.0%","5.70","A- (3.75)","B+ (3.41)"
"Newsome, Elizabeth Ann","VIS 126AN - PreColumbian Art/Anc Mex&C Amr (A)","SP22","69","16","100.0%","93.8%","5.00","B+ (3.50)","B+ (3.67)"
"Shen, Kuiyi","VIS 127B - Arts of China (A)","SP22","135","29","80.0%","84.0%","3.94","B+ (3.64)","B+ (3.56)"
"Tronzo, William","VIS 128A - Topics/Pre-Modern Art History (A)","SP22","71","15","93.3%","100.0%","3.17","A- (3.91)","A- (3.79)"
"D'Elena-Tweed, Jessica Erin","VIS 133A - Studio Topics in Spec Design (A)","SP22","15","3","100.0%","100.0%","7.17","A (4.00)","N/A"
"Alexander, Amy J","VIS 145B - Time&Process Digital Media II (A)","SP22","15","6","83.3%","100.0%","5.83","A- (3.83)","N/A"
"Kiratli, Solen","VIS 145B - Time&Process Digital Media II (B)","SP22","15","5","100.0%","100.0%","6.10","A (4.00)","N/A"
"Navab-Gojrati, Nassem","VIS 147B - Electronic Technologies/Art II (A)","SP22","15","5","100.0%","80.0%","6.10","A (4.00)","N/A"
"Stone, Patricia","VIS 149 - Contemporary Computer Topics (A)","SP22","16","4","100.0%","100.0%","9.83","B+ (3.33)","N/A"
"Wardwell, Mariana Razo","VIS 150 - Landmarks of World Cinema (A)","SP22","30","6","60.0%","40.0%","4.90","B (3.00)","A- (3.71)"
"Cartwright, Lisa","VIS 159 - History of Art and Technology (A)","SP22","130","56","92.3%","92.3%","4.00","A- (3.83)","A- (3.90)"
"Alexander, Amy J","VIS 160B - Senior Proj/Computing Arts II (A)","SP22","10","3","100.0%","100.0%","9.17","A (4.00)","N/A"
"Akten, Mehmet","VIS 160B - Senior Proj/Computing Arts II (B)","SP22","15","9","100.0%","100.0%","12.06","A- (3.78)","N/A"
"Bratton, Benjamin H.","VIS 161 - Systems and Networks at Scale (A)","SP22","15","5","80.0%","100.0%","8.50","B+ (3.40)","N/A"
"Bratton, Benjamin H.","VIS 162 - Spec. Science&Design Invention (A)","SP22","13","4","75.0%","75.0%","5.00","A- (3.75)","N/A"
"Gomez Mostajo, Maria Loren","VIS 164 - Photographic Strategies (A)","SP22","19","3","100.0%","100.0%","3.83","A (4.00)","N/A"
"Nakayama, Yue","VIS 164 - Photographic Strategies (B)","SP22","21","17","100.0%","100.0%","5.88","A- (3.88)","A- (3.93)"
"Sprague, Sean Jeffrey","VIS 165 - Black and White Darkroom (A)","SP22","22","7","100.0%","100.0%","11.36","B+ (3.57)","A- (3.86)"
"Nakayama, Yue","VIS 167 - Social Engagement&Photography (A)","SP22","22","15","100.0%","100.0%","5.70","A- (3.87)","A- (3.81)"
"Sprague, Sean Jeffrey","VIS 168 - Pictorialism&Construct.Reality (A)","SP22","22","10","90.0%","90.0%","8.30","A- (3.80)","B+ (3.40)"
"Zurita, Dmitri","VIS 174 - Media Sketchbook (A)","SP22","21","9","100.0%","100.0%","5.64","A- (3.83)","B+ (3.62)"
"Thomas Valdivia, Eduardo Allan","VIS 175 - Editing - Theory & Practice (A)","SP22","22","13","100.0%","100.0%","7.67","A- (3.92)","A- (3.88)"
"Trigilio, Michael","VIS 178 - Sound - Theory and Practice (A)","SP22","22","9","100.0%","100.0%","7.39","A- (3.89)","A- (3.88)"
"Segade, Alexandro Abraham","VIS 179 - Intermediate Projects in Media (A)","SP22","24","5","100.0%","100.0%","8.50","B+ (3.60)","B+ (3.42)"
"Zurita, Dmitri","VIS 183A - Strategies of Self (A)","SP22","22","16","87.5%","93.8%","6.50","A- (3.88)","A- (3.75)"
"Trigilio, Michael","VIS 185 - Senior Media Projects (A)","SP22","19","4","100.0%","100.0%","8.50","A (4.00)","N/A"
"Shen, Kuiyi","VIS 21B - Introduction/Asian Art (A)","SP22","173","72","94.3%","88.2%","3.63","A- (3.92)","A- (3.89)"
"Rose, Jordan M","VIS 22 - Formations of Modern Art (A)","SP22","180","64","93.4%","93.3%","3.73","B+ (3.52)","B+ (3.45)"
"Iglesias, Janelle Ann","VIS 3 - Intr/Art-Making:3-D Practices (A)","SP22","228","103","88.7%","92.6%","6.73","A- (3.81)","B+ (3.55)"
"Dominguez, Ricardo","VIS 31 - Undead Media All Things Zombie (A)","SP22","74","29","100.0%","100.0%","2.43","A- (3.89)","A- (3.99)"
"D'Elena-Tweed, Jessica Erin","VIS 41 - Design Communication (A)","SP22","93","44","97.4%","91.7%","6.35","A- (3.95)","A- (3.80)"
"Gomez Mostajo, Maria Loren","VIS 60 - Intro/Digital Photography (A)","SP22","135","48","76.1%","77.3%","6.72","B+ (3.61)","B+ (3.56)"
"Cho, Erica","VIS 70N - Introduction to Media (A)","SP22","123","56","75.5%","56.6%","4.50","B+ (3.65)","B+ (3.38)"
"Tufenkian, Armand Yervant","VIS 84 - Film History (A)","SP22","270","98","84.9%","81.5%","4.03","A- (3.77)","B+ (3.34)"
"Park, Kyong Dong","VIS 100A - Design of Public Culture (A)","WI22","8","3","100.0%","100.0%","7.17","B+ (3.67)","N/A"
