"Instructor","Course","Term","Enroll","Evals Made","Rcmnd Class","Rcmnd Instr","Study Hrs/wk","Avg Grade Expected","Avg Grade Received"
"Ramirez, Brianna Rachelle","EDS 25 - Am Higher Edu&Collegiate Exper (B)","S222","128","57","96.2%","98.0%","4.72","A- (3.84)","A- (3.85)"
"Miguel, Jessica","EDS 110R - Early Learning Environments (A)","S122","19","4","100.0%","100.0%","5.17","B+ (3.67)","N/A"
"Osoria, Ruby","EDS 117 - Language, Culture & Education (A)","S122","29","3","100.0%","66.7%","7.83","A (4.00)","A- (3.73)"
"Eguchi, Emi","EDS 124BR - Teach Computational Thinking (A)","S122","20","3","100.0%","100.0%","6.50","A (4.00)","B+ (3.64)"
"Reece, Erika Rae","EDS 126 - Social Organization/Education (A)","S122","16","3","100.0%","66.7%","9.83","A (4.00)","N/A"
"Drake, Kristy Nicole","EDS 135 - Newcomer Communities in SD (A)","S122","26","6","100.0%","100.0%","10.50","B+ (3.67)","B (3.23)"
"Ambo, Theresa Jean","EDS 102 - Intro to Qual Methods/EdRsrch (A)","SP22","50","15","93.3%","100.0%","2.90","A (4.00)","A- (3.99)"
"Gallagher-Geurtsen, Tricia Meghan","EDS 112 - U.S. Urban Education (A)","SP22","56","47","97.8%","100.0%","4.72","A- (3.86)","B+ (3.58)"
"Ramirez, Brianna Rachelle","EDS 113 - Chicanas/os & Latinos in Edu (A)","SP22","54","16","93.3%","93.3%","3.03","A- (3.86)","A- (3.71)"
"Eguchi, Emi","EDS 114 - Cogn Develp&Intractv Compt Env (B)","SP22","27","8","75.0%","100.0%","6.75","B (3.29)","B (3.20)"
"Mamas, Christoforos","EDS 115 - Cog Development & Education (A)","SP22","62","23","100.0%","100.0%","3.83","A- (3.95)","A- (3.86)"
"Museus, Samuel David","EDS 116 - Equity Minded Education (A)","SP22","39","10","100.0%","100.0%","2.50","A (4.00)","A- (3.92)"
"Jones, Makeba","EDS 117 - Language, Culture & Education (B)","SP22","139","45","97.6%","97.6%","4.69","A- (3.90)","B+ (3.68)"
"Miguel, Jessica","EDS 118 - Adolescent Devlp & Education (A)","SP22","58","52","100.0%","100.0%","3.92","A- (3.82)","B+ (3.63)"
"Eguchi, Emi","EDS 124BR - Teach Computational Thinking (A)","SP22","130","37","91.7%","94.4%","7.00","A- (3.86)","B+ (3.57)"
"Gautsch, Leslie","EDS 125 - Hist,Polic&Theory/Bilingual Ed (A)","SP22","55","16","87.5%","93.8%","5.38","A- (3.88)","A- (3.81)"
"Pappas, Elizabeth","EDS 128B - Intro/Teaching&Learning (Elem) (A)","SP22","44","8","100.0%","100.0%","4.00","A- (3.88)","A- (3.79)"
"Heinzman, Erica M.","EDS 129C - Intro/Teach&Learn (Secondary) (A)","SP22","43","26","100.0%","100.0%","4.58","A- (3.84)","A- (3.98)"
"Scharton, Susan Michelle","EDS 130 - Intro/Acad Ment/Elem Schl Stdn (A)","SP22","51","46","97.8%","91.3%","7.21","A- (3.77)","A- (3.80)"
"Chung, Luz Marina","EDS 136 - Intro/Acad Tut/Second Schl Std (A)","SP22","36","14","100.0%","100.0%","6.07","A- (3.86)","A- (3.74)"
"Mamas, Christoforos","EDS 141 - Adv. Action Rsrch in P-12 Educ (A)","SP22","25","6","100.0%","100.0%","7.70","A (4.00)","A- (3.80)"
"Bintliff, Amy S.V.","EDS 145 - Arts Across the Curriculum (A)","SP22","22","8","100.0%","100.0%","8.00","A- (3.75)","A- (3.96)"
"Bussey, Thomas J","EDS 31 - Introductn to Teaching Science (A)","SP22","10","5","100.0%","100.0%","3.70","B (3.20)","N/A"
"Halter, Christopher P.","EDS 103 - Intro to Quant Methods/EdRsrch (A)","WI22","41","19","100.0%","100.0%","4.29","B+ (3.68)","A- (3.82)"
"Cohen, Shana R","EDS 111 - Child Family Community (A)","WI22","42","20","84.2%","94.7%","4.80","A- (3.95)","A- (3.88)"
"Chapman, Thandeka K","EDS 112 - U.S. Urban Education (A)","WI22","61","23","95.7%","95.7%","4.50","A- (3.96)","B+ (3.68)"
"Eguchi, Emi","EDS 114 - Cogn Develp&Intractv Compt Env (A)","WI22","33","11","90.9%","81.8%","4.68","A (4.00)","B+ (3.57)"
"Cohen, Shana R","EDS 115 - Cog Development & Education (A)","WI22","46","19","89.5%","78.9%","4.08","A- (3.82)","A- (3.71)"
"Dean, Dallawrence Edward","EDS 116 - Equity Minded Education (A)","WI22","21","9","100.0%","100.0%","5.00","A- (3.86)","A- (3.92)"
"Jones, Makeba","EDS 117 - Language, Culture & Education (A)","WI22","73","31","100.0%","100.0%","5.53","A- (3.93)","A- (3.84)"
"Aragon, Maria Jose","EDS 117 - Language, Culture & Education (B)","WI22","67","31","96.8%","96.8%","3.50","A- (3.74)","A- (3.81)"
"Bintliff, Amy S.V.","EDS 118 - Adolescent Devlp & Education (A)","WI22","49","49","100.0%","100.0%","4.17","A- (3.88)","A- (3.96)"
"Goodall, Grant Todd","EDS 119 - 1st&2nd Lang Lrn:Child to Adol (A)","WI22","27","11","100.0%","100.0%","3.59","B+ (3.40)","C+ (2.35)"
"Eguchi, Emi","EDS 124AR - Teach Computation/DigitalWorld (A)","WI22","98","22","86.4%","90.9%","6.60","A- (3.95)","A- (3.73)"
"Simon, Elizabeth A","EDS 124BR - Teach Computational Thinking (A)","WI22","134","44","97.5%","100.0%","6.00","A- (3.93)","B+ (3.58)"
"Aragon, Maria Jose","EDS 125 - Hist,Polic&Theory/Bilingual Ed (A)","WI22","33","17","100.0%","100.0%","3.91","A- (3.87)","B+ (3.58)"
"Pitt, Richard Norris","EDS 126 - Social Organization/Education (A)","WI22","27","25","96.0%","100.0%","4.74","A- (3.79)","B+ (3.39)"
"Fargason, Sharon Gayle","EDS 128A - Intro/Teaching&Learning (Elem) (A)","WI22","46","11","100.0%","100.0%","5.95","A- (3.82)","A- (3.84)"
"Black, Alison Michelle","EDS 129B - Intro/Teach&Learn (Secondary) (A)","WI22","44","27","96.3%","92.3%","5.69","A- (3.93)","A- (3.91)"
"Hopkins, Megan Beth","EDS 130 - Intro/Acad Ment/Elem Schl Stdn (A)","WI22","33","29","100.0%","96.4%","6.02","A- (3.93)","A- (3.92)"
"Bintliff, Amy S.V.","EDS 133 - Counsel, Mentor, Advise (P-12) (A)","WI22","25","13","100.0%","100.0%","5.00","A (4.00)","A- (3.83)"
"Chung, Luz Marina","EDS 136 - Intro/Acad Tut/Second Schl Std (A)","WI22","21","6","100.0%","100.0%","4.50","A (4.00)","B+ (3.48)"
"Chung, Luz Marina","EDS 140 - Intro Action Rsrch P-12 Edu (B)","WI22","29","10","88.9%","100.0%","7.90","A (4.00)","A- (3.75)"
"Miguel, Jessica","EDS 164R - Early Childhood Policy (A)","WI22","14","6","83.3%","100.0%","8.50","A- (3.83)","N/A"
"Museus, Samuel David","EDS 180 - Topics in Education Studies (A)","WI22","14","7","100.0%","100.0%","5.36","B+ (3.57)","N/A"
"Dean, Dallawrence Edward","EDS 23 - Higher Education Second Year (A)","WI22","17","10","90.0%","100.0%","1.50","A (4.00)","N/A"
"Dean, Dallawrence Edward","EDS 23 - Higher Education Second Year (B)","WI22","11","5","100.0%","100.0%","1.70","N/A","N/A"
"Eguchi, Emi","EDS 87 - Freshman Seminar (A)","WI22","19","9","75.0%","71.4%","2.00","A (4.00)","N/A"
"Wishard Guerra, Alison G.","EDS 110R - Early Learning Environments (A)","FA21","44","20","94.4%","100.0%","7.28","A- (3.81)","B+ (3.49)"
"Clarke, Sherice Nicole","EDS 115 - Cog Development & Education (A)","FA21","54","32","83.9%","96.8%","4.19","B+ (3.61)","A- (3.74)"
"Chung, Luz Marina","EDS 117 - Language, Culture & Education (A)","FA21","67","27","96.3%","96.3%","6.94","B+ (3.68)","A- (3.77)"
"Simon, Elizabeth A","EDS 124AR - Teach Computation/DigitalWorld (A)","FA21","100","35","94.1%","94.1%","6.79","A- (3.74)","B+ (3.59)"
"Simon, Elizabeth A","EDS 124BR - Teach Computational Thinking (A)","FA21","88","27","88.5%","92.3%","7.08","A- (3.88)","B+ (3.62)"
"Eguchi, Emi","EDS 124BR - Teach Computational Thinking (C)","FA21","72","25","96.0%","100.0%","7.30","A- (3.72)","B+ (3.38)"
"Jones, Gabrielle Anastasia","EDS 125 - Hist,Polic&Theory/Bilingual Ed (A)","FA21","55","49","89.8%","91.8%","4.54","B+ (3.61)","B (3.25)"
"Jones, Makeba","EDS 126 - Social Organization/Education (A)","FA21","59","25","96.0%","96.0%","3.70","A- (3.96)","A- (3.81)"
"Millstone, Rachel Diana","EDS 129A - Intro/Teach&Learn (Secondary) (A)","FA21","43","41","100.0%","100.0%","5.96","A- (3.92)","A- (3.80)"
"Holtzman, Caren Lynn","EDS 130 - Intro/Acad Ment/Elem Schl Stdn (A)","FA21","39","38","97.4%","97.3%","6.18","A- (3.70)","B+ (3.69)"
"Wishard Guerra, Alison G.","EDS 131 - Early Child Dev & Education (A)","FA21","18","15","92.9%","92.3%","7.36","A- (3.93)","N/A"
"Bintliff, Amy S.V.","EDS 136 - Intro/Acad Tut/Second Schl Std (A)","FA21","28","15","100.0%","100.0%","6.07","A- (3.93)","A- (3.70)"
"Hemans, Patricia Ann Benitez","EDS 146 - Mindfulness and Education (A)","FA21","7","4","100.0%","100.0%","4.50","A (4.00)","N/A"
"Dean, Dallawrence Edward","EDS 150 - CASP Transfer Intro Course (A)","FA21","24","14","100.0%","100.0%","3.58","A (4.00)","N/A"
"Dean, Dallawrence Edward","EDS 150 - CASP Transfer Intro Course (B)","FA21","24","12","100.0%","100.0%","1.67","A (4.00)","N/A"
"Dean, Dallawrence Edward","EDS 150 - CASP Transfer Intro Course (C)","FA21","18","11","100.0%","100.0%","1.83","A- (3.80)","N/A"
"Dean, Dallawrence Edward","EDS 150 - CASP Transfer Intro Course (D)","FA21","10","4","100.0%","100.0%","5.83","N/A","N/A"
"Dean, Dallawrence Edward","EDS 150 - CASP Transfer Intro Course (E)","FA21","18","7","100.0%","100.0%","3.50","B+ (3.33)","N/A"
"Dean, Dallawrence Edward","EDS 150 - CASP Transfer Intro Course (F)","FA21","14","9","100.0%","100.0%","4.06","A (4.00)","N/A"
"Dean, Dallawrence Edward","EDS 150 - CASP Transfer Intro Course (G)","FA21","9","5","100.0%","100.0%","4.50","A (4.00)","N/A"
"Dean, Dallawrence Edward","EDS 150 - CASP Transfer Intro Course (H)","FA21","21","11","100.0%","90.9%","2.68","A (4.00)","N/A"
"Cohen, Shana R","EDS 164R - Early Childhood Policy (A)","FA21","33","13","84.6%","84.6%","6.81","B+ (3.62)","B (3.07)"
"Dean, Dallawrence Edward","EDS 25 - Am Higher Edu&Collegiate Exper (A)","FA21","80","41","100.0%","97.4%","5.25","A- (3.74)","A- (3.75)"
"Heinzman, Erica M.","EDS 39 - Explore Secondary STEM Ed (A)","FA21","20","20","100.0%","100.0%","2.90","A- (3.89)","A (4.00)"
"Dean, Dallawrence Edward","EDS 50 - CASP Frosh Intro Course (A)","FA21","25","14","92.9%","100.0%","1.07","A (4.00)","N/A"
"Dean, Dallawrence Edward","EDS 50 - CASP Frosh Intro Course (B)","FA21","25","12","100.0%","100.0%","1.30","A- (3.71)","N/A"
"Dean, Dallawrence Edward","EDS 50 - CASP Frosh Intro Course (C)","FA21","25","11","90.9%","100.0%","0.86","B+ (3.67)","N/A"
"Dean, Dallawrence Edward","EDS 50 - CASP Frosh Intro Course (D)","FA21","16","11","90.9%","90.9%","1.59","A (4.00)","N/A"
"Dean, Dallawrence Edward","EDS 50 - CASP Frosh Intro Course (E)","FA21","24","12","100.0%","100.0%","0.83","A (4.00)","N/A"
"Dean, Dallawrence Edward","EDS 50 - CASP Frosh Intro Course (F)","FA21","25","14","92.3%","100.0%","1.79","A- (3.83)","N/A"
