"Instructor","Course","Term","Enroll","Evals Made","Rcmnd Class","Rcmnd Instr","Study Hrs/wk","Avg Grade Expected","Avg Grade Received"
"Baghdadchi, Saharnaz","ECE 100 - Linear Electronic Systems (A)","SP22","129","102","95.0%","97.0%","10.07","B (3.25)","B (3.08)"
"Bharadia, Dinesh","ECE 101 - Linear Systems Fundamentals (A)","SP22","85","57","91.2%","86.0%","7.45","B (3.14)","B- (2.75)"
"Kuzum, Duygu","ECE 103 - Fundamntls/Devices & Materials (A)","SP22","61","19","84.2%","78.9%","6.82","B- (2.95)","B (3.12)"
"Fullerton, Eric E","ECE 107 - Electromagnetism (A)","SP22","69","27","73.1%","84.6%","8.42","B (3.12)","C+ (2.59)"
"Orlitsky, Alon","ECE 109 - Engineering Probability&Stats (A)","SP22","238","88","58.0%","71.3%","6.99","B (3.14)","B- (2.99)"
"Turakhia, Yatish Girish","ECE 111 - Advanced Digital Design Proj (A)","SP22","126","84","89.2%","89.2%","6.88","B+ (3.32)","B (3.04)"
"Yip, Michael","ECE 115 - Fast Prototyping (A)","SP22","15","13","100.0%","92.3%","15.58","A- (3.85)","N/A"
"Sievenpiper, Daniel F.","ECE 123 - Antenna Systems Engineering (A)","SP22","56","20","100.0%","100.0%","6.50","B (3.21)","B- (2.93)"
"Esmaili, Gholamreza","ECE 124 - Motor Drives (A)","SP22","10","3","100.0%","100.0%","9.17","B+ (3.33)","N/A"
"Esmaili, Gholamreza","ECE 125B - Intro to Power Electronics II (A)","SP22","32","8","75.0%","62.5%","8.00","B+ (3.63)","B+ (3.39)"
"Abi Samra, Nicholas Camill","ECE 128C - Power Grid Resiliency (A)","SP22","76","38","97.3%","97.2%","5.64","A- (3.89)","A- (3.85)"
"Ng, Tse Nga","ECE 134 - Electrnc Materls Sci/Integ Cir (A)","SP22","39","13","100.0%","100.0%","4.17","B+ (3.50)","B+ (3.38)"
"Nomura, Kenji","ECE 139 - SemicndctorDeviceModelng/Desgn (A)","SP22","12","5","80.0%","80.0%","2.10","B+ (3.50)","N/A"
"Gessner, Richard K.","ECE 140B - The Art of Product Eng II (A)","SP22","58","20","89.5%","89.5%","9.66","B+ (3.61)","B+ (3.56)"
"Khoshabeh, Ramsin","ECE 140B - The Art of Product Eng II (A)","SP22","58","20","89.5%","100.0%","9.66","B+ (3.61)","B+ (3.56)"
"Gessner, Richard K.","ECE 141B - Software Foundations II (A)","SP22","42","17","70.6%","94.1%","13.68","B+ (3.53)","B+ (3.33)"
"Silberman, Jack","ECE 148 - Intro to Autonomous Vehicles (A)","SP22","10","5","80.0%","80.0%","13.30","B (3.20)","N/A"
"Gilja, Vikash","ECE 15 - Engineering Computation (A)","SP22","100","29","69.0%","88.9%","9.19","B (3.07)","C+ (2.55)"
"Bharadia, Dinesh","ECE 157B - Communications Systems Lab II (A)","SP22","8","6","100.0%","80.0%","9.70","A- (3.83)","N/A"
"Zhang, Xinyu","ECE 158B - Data Networks II (A)","SP22","10","4","100.0%","100.0%","6.50","B (3.00)","N/A"
"Khoshabeh, Ramsin","ECE 16 - Rapid Hardware & Software Dsn (A)","SP22","33","14","92.9%","92.9%","9.50","A- (3.77)","B- (2.79)"
"Harris, Frederick Joel","ECE 161C - Apps of Digital Signal Process (A)","SP22","52","13","84.6%","84.6%","8.35","B+ (3.69)","B+ (3.58)"
"Hsueh, Tzu-Chien","ECE 163 - Electronic Circuits & Systems (A)","SP22","62","58","93.1%","98.3%","9.47","B (3.14)","B+ (3.47)"
"Mercier, Patrick Philip","ECE 165 - Digtl Integrated Circuit Desgn (A)","SP22","72","31","83.3%","93.3%","13.21","B (3.29)","B (3.13)"
"Gessner, Richard K.","ECE 17 - Object-Oriented Programming (A)","SP22","88","37","86.1%","91.7%","13.22","B (3.23)","B- (2.72)"
"Zheng, Yang","ECE 171A - Linear Control System Theory (A)","SP22","72","36","100.0%","100.0%","12.44","B+ (3.50)","B+ (3.54)"
"Meyer, Florian","ECE 175B - Prob Reasoning & Graphical Mod (A)","SP22","49","17","70.6%","88.2%","9.79","B (3.18)","B (3.27)"
"Trivedi, Mohan M.","ECE 180 - Topics in ECE (A)","SP22","32","12","100.0%","91.7%","3.83","B+ (3.30)","A- (3.84)"
"Papen, George C.","ECE 185 - Lasers and Modulators (A)","SP22","11","5","100.0%","100.0%","10.50","B- (2.80)","N/A"
"Zhang, Xinyu","ECE 191 - Engineering Group Design Proj (A)","SP22","25","3","100.0%","100.0%","17.50","B (3.00)","B+ (3.42)"
"Dey, Sujit","ECE 25 - Introduction to Digital Design (A)","SP22","28","13","100.0%","76.9%","5.58","A- (3.77)","B (3.09)"
"Taur, Yuan","ECE 35 - Introduction to Analog Design (A)","SP22","129","47","80.0%","64.4%","8.02","B (3.24)","C+ (2.66)"
"Zeger, Kenneth A.","ECE 45 - Circuits and Systems (A)","SP22","130","42","65.0%","67.5%","7.62","B (3.08)","C+ (2.61)"
"Lin, Bill","ECE 5 - Intro to ECE (A)","SP22","25","10","100.0%","100.0%","5.61","A (4.00)","B+ (3.62)"
"Morris, Karcher William","ECE 5 - Intro to ECE (A)","SP22","25","10","100.0%","100.0%","5.61","A (4.00)","B+ (3.62)"
"Baghdadchi, Saharnaz","ECE 65 - Components & Circuits Lab (A)","SP22","184","128","96.9%","100.0%","7.80","B+ (3.51)","B- (2.89)"
"Baghdadchi, Saharnaz","ECE 101 - Linear Systems Fundamentals (A)","WI22","128","87","89.7%","98.8%","7.97","B (3.27)","B (3.02)"
"Le, Hanh-Phuc","ECE 102 - Intro/Active Circuit Design (A)","WI22","75","56","94.6%","96.4%","9.43","B- (2.95)","C+ (2.58)"
"Lomakin, Vitaliy","ECE 107 - Electromagnetism (A)","WI22","80","33","64.5%","77.4%","8.05","B (3.19)","B (3.02)"
"Zeger, Kenneth A.","ECE 109 - Engineering Probability&Stats (A)","WI22","126","38","72.2%","75.0%","7.67","B- (2.86)","C+ (2.52)"
"Karna, Vishal","ECE 111 - Advanced Digital Design Proj (A)","WI22","172","63","95.2%","100.0%","7.63","A- (3.73)","B+ (3.67)"
"Yip, Michael","ECE 115 - Fast Prototyping (A)","WI22","9","5","100.0%","100.0%","13.30","B (3.00)","N/A"
"Esmaili, Gholamreza","ECE 121B - Energy Conversion (A)","WI22","46","22","95.2%","90.5%","8.60","B (3.00)","B (3.02)"
"Le, Hanh-Phuc","ECE 125A - Intro to Power Electronics I (A)","WI22","57","43","97.7%","97.7%","8.31","B (3.09)","B- (2.88)"
"Abi Samra, Nicholas Camill","ECE 128B - Power Grid Modernization (A)","WI22","60","36","100.0%","100.0%","6.09","B+ (3.54)","B+ (3.66)"
"Gessner, Richard K.","ECE 140A - The Art of Product Eng I (A)","WI22","100","31","93.1%","93.1%","10.02","A- (3.72)","B+ (3.30)"
"Khoshabeh, Ramsin","ECE 140A - The Art of Product Eng I (A)","WI22","100","31","93.1%","93.1%","10.02","A- (3.72)","B+ (3.30)"
"Gessner, Richard K.","ECE 141A - Software Foundations I (A)","WI22","77","37","86.1%","88.9%","14.06","B+ (3.47)","B- (2.72)"
"Unpingco, Jose H.","ECE 143 - Programming for Data Analysis (A)","WI22","98","68","97.1%","100.0%","7.88","A- (3.91)","A- (3.88)"
"Silberman, Jack","ECE 148 - Intro to Autonomous Vehicles (A)","WI22","9","6","100.0%","100.0%","9.83","B+ (3.33)","N/A"
"Schurgers, Curt","ECE 15 - Engineering Computation (A)","WI22","134","93","80.6%","91.3%","9.40","B (3.15)","C (2.23)"
"Kumar, Rakesh","ECE 150 - Entrepreneurship for Engineers (A)","WI22","40","26","92.3%","92.3%","6.02","A- (3.72)","B+ (3.40)"
"Ling, Patrick L","ECE 157A - Communications Systems Lab I (A)","WI22","18","7","100.0%","100.0%","10.50","B+ (3.57)","N/A"
"Wang, Edward Jay","ECE 16 - Rapid Hardware & Software Dsn (A)","WI22","29","14","100.0%","92.3%","7.50","B (3.17)","B+ (3.66)"
"Nguyen, Truong Quang","ECE 161B - Digital Signal Processing I (A)","WI22","51","20","94.4%","100.0%","7.45","B+ (3.32)","B (3.07)"
"Trivedi, Mohan M.","ECE 172A - Introductn/Intelligent Systems (A)","WI22","103","35","88.6%","91.2%","10.79","B (3.28)","B (3.22)"
"Vasconcelos, Nuno","ECE 175A - Pattrn Recogn and Machine Lrng (A)","WI22","99","35","84.8%","75.8%","10.32","B (3.03)","B- (2.88)"
"Papen, George C.","ECE 181 - Physical Optics&Fourier Optics (A)","WI22","11","3","100.0%","100.0%","7.17","B+ (3.33)","N/A"
"Mookherjea, Shayan","ECE 183 - Optical Electronics (A)","WI22","23","9","75.0%","100.0%","7.75","B- (2.86)","B (3.08)"
"Fainman, Yeshaiahu","ECE 184 - Optical Info Proces&Holography (A)","WI22","8","5","100.0%","100.0%","6.10","C+ (2.60)","N/A"
"Zhang, Xinyu","ECE 191 - Engineering Group Design Proj (A)","WI22","18","7","71.4%","100.0%","15.07","B+ (3.43)","N/A"
