"Instructor","Course","Term","Enroll","Evals Made","Rcmnd Class","Rcmnd Instr","Study Hrs/wk","Avg Grade Expected","Avg Grade Received"
"Ehrich, Kristine R","MGT 103 - Product Marketing & Management (C)","WI17","65","65","90.8%","87.7%","4.97","B (3.24)","B (3.09)"
"Ehrich, Kristine R","MGT 103 - Product Marketing & Management (D)","WI17","68","66","87.9%","84.8%","5.24","B (3.06)","B (3.09)"
"Eberhard, Craig A","MGT 103 - Product Marketing & Management (E)","WI17","56","54","100.0%","98.1%","4.01","B+ (3.50)","B (3.20)"
"Eberhard, Craig A","MGT 103 - Product Marketing & Management (F)","WI17","78","76","98.7%","100.0%","3.58","B+ (3.67)","B (3.20)"
"Bates, Kenneth Walter","MGT 103 - Product Marketing & Management (G)","WI17","44","42","92.5%","80.0%","5.32","B (3.21)","B (3.13)"
"Bates, Kenneth Walter","MGT 103 - Product Marketing & Management (H)","WI17","54","50","94.0%","90.0%","4.42","B+ (3.32)","B (3.13)"
"Campbell, Robert Harold","MGT 105 - Product Promotion & Brand Mgt (A)","WI17","116","106","99.0%","99.0%","3.89","A- (3.84)","A- (3.73)"
"Eberhard, Craig A","MGT 106 - Sales and Sales Management (A)","WI17","62","58","93.0%","94.7%","3.76","B+ (3.54)","B (3.17)"
"Fuller, Robert L.","MGT 112 - Global Business Strategy (A)","WI17","76","73","86.3%","95.9%","5.77","A- (3.79)","A- (3.75)"
"Fuller, Robert L.","MGT 112 - Global Business Strategy (B)","WI17","70","64","87.5%","92.2%","4.97","B+ (3.63)","A- (3.75)"
"Fuller, Robert L.","MGT 112 - Global Business Strategy (C)","WI17","82","78","88.5%","87.2%","5.45","B+ (3.68)","A- (3.75)"
"Somasundaram, Tyagarajan","MGT 112 - Global Business Strategy (D)","WI17","37","34","76.5%","76.5%","6.62","B (3.03)","B+ (3.34)"
"Somasundaram, Tyagarajan","MGT 112 - Global Business Strategy (E)","WI17","13","13","92.3%","92.3%","5.73","B+ (3.62)","N/A"
"Kim, Nancy Sun Kyung","MGT 117 - Business Law (A)","WI17","44","24","83.3%","79.2%","4.86","B+ (3.65)","B+ (3.53)"
"Pecore, Joseph P.","MGT 12 - Personal Financial Management (A)","WI17","115","121","96.7%","97.5%","3.38","A- (3.75)","B (3.11)"
"Pecore, Joseph P.","MGT 12 - Personal Financial Management (B)","WI17","104","109","95.4%","95.4%","2.72","B+ (3.70)","B (3.11)"
"Rutherford, Lamar","MGT 121A - Innovation to Market A (A)","WI17","52","49","87.8%","79.6%","4.92","B+ (3.38)","B- (2.99)"
"Zhu, Kevin Xiaoguo","MGT 127 - Innovation and Tech Strategy (A)","WI17","16","16","93.3%","100.0%","4.50","A (4.00)","N/A"
"McKay, Michael J","MGT 129 - Topics in Entrepreneurship (A)","WI17","19","21","95.2%","95.2%","4.21","B+ (3.58)","N/A"
"Edwards, Gregory S","MGT 129 - Topics in Entrepreneurship (B)","WI17","34","33","90.9%","81.8%","4.02","B+ (3.69)","B+ (3.42)"
"Houskeeper, Robert","MGT 131A - Intermediate Accounting A (A)","WI17","157","132","92.2%","87.6%","5.43","B+ (3.50)","C+ (2.69)"
"Houskeeper, Robert","MGT 131B - Intermediate Accounting B (A)","WI17","126","115","96.5%","96.5%","5.44","B+ (3.63)","B+ (3.36)"
"Anderson, John Charles","MGT 135 - Federal Taxation-Companies (A)","WI17","129","102","94.1%","92.2%","5.64","B+ (3.58)","B (3.20)"
"Lindenberger, Wade Douglas","MGT 136 - Advanced Accounting (A)","WI17","67","66","100.0%","100.0%","6.06","A- (3.77)","A- (3.78)"
"Doran, Martha S","MGT 146 - Ethics in Accounting (A)","WI17","37","33","63.6%","81.8%","8.08","B (3.06)","B+ (3.46)"
"Campbell, Robert Harold","MGT 16 - Personal Ethics at Work (A)","WI17","116","110","99.1%","99.1%","4.18","A- (3.78)","B+ (3.49)"
"Campbell, Robert Harold","MGT 16 - Personal Ethics at Work (B)","WI17","114","110","99.1%","100.0%","3.22","A- (3.76)","B+ (3.49)"
"Moran, Cathleen L.","MGT 16 - Personal Ethics at Work (C)","WI17","49","46","75.6%","73.3%","3.68","B+ (3.38)","B (3.02)"
"Baca, Katherine Marie","MGT 162 - Negotiation (A)","WI17","59","44","97.7%","100.0%","3.07","A- (3.91)","A- (3.83)"
"McKay, Mary A","MGT 164 - Business and Org Leadership (A)","WI17","54","53","81.1%","81.1%","6.31","B (3.17)","B- (2.86)"
"McKay, Mary A","MGT 164 - Business and Org Leadership (B)","WI17","69","63","87.3%","82.5%","6.37","B (3.14)","B- (2.86)"
"Zimmermann, Carsten","MGT 164 - Business and Org Leadership (C)","WI17","79","68","94.0%","94.0%","5.85","B+ (3.66)","B+ (3.44)"
"Moran, Cathleen L.","MGT 166 - Corp Social Responsibility (A)","WI17","75","64","93.8%","92.2%","5.55","B (3.28)","B (3.07)"
"Moran, Cathleen L.","MGT 166 - Corp Social Responsibility (B)","WI17","67","70","77.1%","71.4%","5.48","B (3.16)","B (3.07)"
"Jacob, Jo Dee C","MGT 167 - Social Entrepreneurship (A)","WI17","67","59","94.9%","94.9%","3.95","A- (3.78)","B+ (3.62)"
"Hedges, Kathleen","MGT 172 - Business Project Management (A)","WI17","100","92","93.3%","98.9%","4.14","B+ (3.49)","B+ (3.32)"
"Royal, Rebecca","MGT 172 - Business Project Management (A)","WI17","102","91","92.1%","94.4%","4.09","B+ (3.51)","B (3.20)"
"Hedges, Kathleen","MGT 172 - Business Project Management (B)","WI17","72","70","94.3%","97.1%","4.38","B+ (3.46)","B+ (3.32)"
"Zimmermann, Carsten","MGT 172 - Business Project Management (C)","WI17","63","60","90.0%","91.7%","4.50","B+ (3.63)","B+ (3.36)"
"Gopal, Christopher S.","MGT 174 - Supply Chain & Operations Mgt (A)","WI17","46","29","93.1%","82.8%","5.65","B (3.21)","B (3.27)"
"McKay, Mary A","MGT 18 - Managing Diverse Teams (A)","WI17","69","63","87.1%","90.3%","3.98","B (3.07)","B- (2.90)"
"McKay, Michael J","MGT 18 - Managing Diverse Teams (B)","WI17","71","68","80.9%","91.2%","4.07","B+ (3.36)","B (3.05)"
