"Instructor","Course","Term","Enroll","Evals Made","Rcmnd Class","Rcmnd Instr","Study Hrs/wk","Avg Grade Expected","Avg Grade Received"
"Carr, Jennifer Rose","PHIL 125 - Probability and Decision Theor (A)","SP22","36","13","91.7%","90.9%","4.67","B+ (3.38)","B (3.27)"
"Arneson, Richard J.","PHIL 13 - Intro to Philosophy:  Ethics (A)","SP22","118","36","63.9%","69.4%","3.81","B (3.20)","C+ (2.33)"
"Grush, Rick Scott","PHIL 136 - Philosophy of Mind (A)","SP22","35","12","83.3%","91.7%","5.00","B- (2.90)","C+ (2.66)"
"Vargas, Manuel Rogelio","PHIL 140 - Free Will (A)","SP22","49","11","70.0%","90.0%","4.70","B+ (3.33)","B- (2.79)"
"McKenzie, Kerry V.","PHIL 145 - Philosophy of Science (A)","SP22","46","15","100.0%","100.0%","3.43","A- (3.73)","B+ (3.50)"
"Callender, Craig Adam","PHIL 148 - Philosophy and the Environment (A)","SP22","38","8","100.0%","100.0%","3.50","B+ (3.63)","B (3.00)"
"Wang, Tinghao","PHIL 15 - Intro/Phil:Knowlege&Its Limits (A)","SP22","129","46","90.9%","97.7%","3.91","B+ (3.66)","B (3.14)"
"Bazargan-Forward, Saba","PHIL 160 - Ethical Theory (A)","SP22","37","13","100.0%","100.0%","5.88","B+ (3.31)","B+ (3.41)"
"Tolley, Clinton","PHIL 169 - Feminism and Philosphy (A)","SP22","39","6","100.0%","100.0%","8.17","B+ (3.50)","A- (3.72)"
"Brandt, Reuven A","PHIL 173 - Topics in Bioethics (A)","SP22","37","17","94.1%","100.0%","4.15","A- (3.81)","B+ (3.60)"
"Danks, David J","PHIL 174 - Data Ethics (A)","SP22","66","25","92.0%","100.0%","4.98","B+ (3.57)","B+ (3.46)"
"Vargas, Manuel Rogelio","PHIL 27 - Ethics And Society (A)","SP22","186","65","90.8%","96.9%","3.03","B+ (3.41)","B (3.04)"
"Lamey, Andy M.","PHIL 28 - Ethics And Society II (A)","SP22","117","27","61.5%","80.0%","4.58","B+ (3.42)","B (3.11)"
"Hardimon, Michael O.","PHIL 33 - Philosphy betwn Reason/Despair (A)","SP22","65","16","73.3%","64.3%","3.97","B+ (3.38)","B (3.02)"
"Tolley, Clinton","PHIL 35 - Philosophy in the Americas (A)","SP22","66","22","80.0%","95.0%","3.70","B+ (3.68)","B+ (3.32)"
"Wonderly, Monique L.","PHIL 1 - Introduction to Philosophy (A)","WI22","69","26","100.0%","96.2%","3.94","B+ (3.60)","B (3.20)"
"Grush, Rick Scott","PHIL 10 - Introduction to Logic (A)","WI22","274","94","85.9%","92.2%","5.07","B+ (3.31)","B- (2.97)"
"Johnson, Monte","PHIL 101 - Aristotle (A)","WI22","28","10","80.0%","90.0%","6.50","B+ (3.50)","B+ (3.35)"
"Rickless, Samuel Charles","PHIL 111 - History of Phil: Early Modern (A)","WI22","34","12","90.9%","100.0%","6.86","B+ (3.36)","B (3.10)"
"Greely, Nathaniel Atholl","PHIL 12 - Scientific Reasoning (A)","WI22","110","38","83.3%","88.9%","4.39","B+ (3.47)","B- (2.99)"
"Sher, Gila","PHIL 122 - Advanced Topics in Logic (A)","WI22","19","6","83.3%","100.0%","3.83","B+ (3.60)","N/A"
"McKenzie, Kerry V.","PHIL 130 - Metaphysics (A)","WI22","33","17","87.5%","100.0%","4.25","B+ (3.50)","B+ (3.50)"
