"Instructor","Course","Term","Enroll","Evals Made","Rcmnd Class","Rcmnd Instr","Study Hrs/wk","Avg Grade Expected","Avg Grade Received"
"Munoz Sanchez, Alicia","LISP 18 - Intermed Spanish/Health Sci (0)","SP22","13","4","100.0%","100.0%","1.50","A- (3.75)","N/A"
"Styler, William Francis","LIGN 101 - Introduction/Study of Language (A)","WI22","112","52","100.0%","100.0%","4.06","A- (3.72)","B+ (3.35)"
"Mai, Anna Christina Louisa","LIGN 111 - Phonology I (A)","WI22","63","28","89.3%","75.0%","5.14","B+ (3.39)","B (3.02)"
"Garellek, Marc","LIGN 112 - Speech Sounds&Speech Disorders (A)","WI22","74","30","100.0%","100.0%","4.64","B+ (3.43)","B (3.14)"
"Goodall, Grant Todd","LIGN 119 - 1st&2nd Lang Lrn:Child to Adol (A)","WI22","60","23","100.0%","100.0%","3.59","A- (3.76)","B (3.12)"
"Drake, Emily C","LIGN 121 - Syntax I (A)","WI22","75","31","82.8%","82.8%","5.33","B (3.14)","C+ (2.57)"
"Caballero, Gabriela Hernandez","LIGN 152 - Indigenous Languages/Americas (A)","WI22","14","6","83.3%","100.0%","2.83","B+ (3.67)","N/A"
"Kluender, Robert","LIGN 155 - Evolution of Language (A)","WI22","25","6","66.7%","66.7%","6.83","B- (2.83)","B- (2.76)"
"Bergen, Leon","LIGN 167 - Deep Learning/Natural Language (A)","WI22","89","29","92.9%","96.4%","5.93","B+ (3.67)","B+ (3.52)"
"Kehler, Andrew Scott","LIGN 17 - Making and Breaking Codes (A)","WI22","276","133","95.4%","96.9%","3.04","B+ (3.51)","B (3.21)"
"Munoz Sanchez, Alicia","LIGN 178 - Spanish Sociolinguistics (A)","WI22","16","7","100.0%","100.0%","2.79","A- (3.86)","N/A"
"Styler, William Francis","LIGN 42 - The Linguistics of Memes (A)","WI22","47","25","100.0%","100.0%","1.86","A- (3.86)","A- (3.71)"
"McIntosh, Justin Daniel","LIGN 8 - Languages & Cultures/America (A)","WI22","248","103","97.0%","98.0%","3.61","A- (3.76)","B+ (3.70)"
"Alicio, Atilio","LIHL 112W - Filipino for Filipino Speakers (A)","WI22","14","8","100.0%","100.0%","3.75","B (3.14)","N/A"
"Hill, Kimloan T.V.","LIHL 114W - Beginning Vietnamese for Vietn (A)","WI22","10","3","66.7%","66.7%","3.83","B+ (3.50)","N/A"
"Tark, Eun Sun","LIHL 115W - Korean for Korean Speakers (A)","WI22","11","3","100.0%","100.0%","1.17","A (4.00)","N/A"
"Sadegholvad, Elham","LIHL 117W - Persian for Persian Speakers (A)","WI22","10","8","100.0%","100.0%","3.25","A (4.00)","N/A"
"Chen, Areana Yen","LIHL 118 - Cantonese for Cantonse Speaker (A)","WI22","17","17","94.1%","82.4%","3.91","B+ (3.46)","N/A"
"Arya, Shaurya","LIHL 119W - Hindi for Hindi Speakers (A)","WI22","12","4","100.0%","100.0%","3.00","A (4.00)","N/A"
"Hill, Kimloan T.V.","LIHL 124W - Int Vietnamese/Vietnamese Spkr (A)","WI22","11","4","100.0%","100.0%","2.50","A- (3.75)","N/A"
"Alicio, Atilio","LIHL 132W - Adv Filipino/Filipino Spkrs (A)","WI22","12","5","66.7%","100.0%","5.83","B (3.00)","N/A"
"Munoz Sanchez, Alicia","LISP 18 - Intermed Spanish/Health Sci (A)","WI22","15","8","100.0%","100.0%","3.36","A (4.00)","N/A"
"Styler, William Francis","LIGN 101 - Introduction/Study of Language (A)","FA21","138","66","100.0%","100.0%","3.68","B+ (3.68)","B+ (3.57)"
"Garellek, Marc","LIGN 110 - Phonetics (A)","FA21","90","43","95.2%","97.6%","5.36","B+ (3.31)","B (3.23)"
"Drake, Emily C","LIGN 142 - Language Typology (A)","FA21","30","13","92.3%","100.0%","4.19","B+ (3.46)","B (3.19)"
"Lott, Margaret S.","LIGN 144 - Discourse Analysis: ASL Poetr (A)","FA21","27","9","88.9%","100.0%","4.06","B+ (3.50)","B+ (3.49)"
"Kluender, Robert","LIGN 154 - Language and Consciousness (A)","FA21","21","10","100.0%","100.0%","4.70","B (3.20)","B- (2.89)"
"Kehler, Andrew Scott","LIGN 160 - Pragmatics (A)","FA21","37","15","85.7%","92.9%","4.10","B (3.00)","B (3.11)"
"Rose, Sharon","LIGN 177 - Multilingualism (A)","FA21","45","18","100.0%","100.0%","4.28","B+ (3.61)","B (3.16)"
"Goodall, Grant Todd","LIGN 5 - Linguistics of Invented Lang (A)","FA21","70","34","97.1%","100.0%","2.44","B+ (3.58)","B- (2.98)"
"Mayberry, Rachel","LIGN 7 - Sign Languages&Their Cultures (A)","FA21","223","113","88.9%","93.4%","3.02","A- (3.73)","B (3.17)"
"Caballero, Gabriela Hernandez","LIGN 8 - Languages & Cultures/America (A)","FA21","206","76","97.3%","100.0%","4.09","A- (3.79)","B+ (3.48)"
"Alicio, Atilio","LIHL 112F - Filipino for Filipino Speakers (A)","FA21","22","6","100.0%","100.0%","3.17","B- (2.83)","B (3.10)"
"Hill, Kimloan T.V.","LIHL 114F - Beginning Vietnamese for Vietn (A)","FA21","12","6","100.0%","83.3%","3.83","A- (3.83)","N/A"
"Sadegholvad, Elham","LIHL 117F - Persian for Persian Speakers (A)","FA21","13","8","100.0%","100.0%","3.07","A (4.00)","N/A"
"Sadegholvad, Elham","LIHL 118 - Cantonese for Cantonse Speaker (A)","FA21","13","7","28.6%","14.3%","5.36","A (4.00)","N/A"
"Sadegholvad, Elham","LIHL 119F - Hindi for Hindi Speakers (A)","FA21","17","7","100.0%","100.0%","2.50","A (4.00)","N/A"
"Hill, Kimloan T.V.","LIHL 124F - Int Vietnamese/Vietnamese Spkr (A)","FA21","13","6","50.0%","0.0%","5.83","B+ (3.50)","N/A"
"Alicio, Atilio","LIHL 132F - Adv Filipino/Filipino Spkrs (A)","FA21","17","6","83.3%","83.3%","4.17","C+ (2.50)","N/A"
"Munoz Sanchez, Alicia","LISP 18 - Intermed Spanish/Health Sci (A)","FA21","14","5","100.0%","100.0%","2.00","A (4.00)","N/A"
"Wampler, Joshua William","LIGN 130 - Semantics (A)","S221","27","12","100.0%","91.7%","6.50","B+ (3.42)","B (3.22)"
"McIntosh, Justin Daniel","LIGN 101 - Introduction/Study of Language (A)","S121","31","10","100.0%","100.0%","3.50","B+ (3.60)","B+ (3.57)"
