"Instructor","Course","Term","Enroll","Evals Made","Rcmnd Class","Rcmnd Instr","Study Hrs/wk","Avg Grade Expected","Avg Grade Received"
"Bach, Quang Tran","CSE 21 - Math/Algorithm&Systems Analys (A)","S122","25","8","100.0%","100.0%","7.25","A- (3.75)","B- (2.97)"
"Miranda, Gregory Joseph","CSE 3 - Fluency/Information Technology (A)","S122","26","9","100.0%","100.0%","8.50","A- (3.88)","B (3.26)"
"Eldon, John","CSE 30 - Computer Organiz&Systms Progrm (A)","S122","72","44","77.3%","75.0%","13.36","B+ (3.46)","B- (2.92)"
"Bhaskar, Nishant","CSE 30 - Computer Organiz&Systms Progrm (B)","S122","41","27","92.6%","100.0%","12.19","B+ (3.38)","B- (2.89)"
"Miranda, Gregory Joseph","CSE 8A - Intro to Programming 1 (A)","S122","39","14","92.9%","85.7%","8.79","B+ (3.64)","B (3.12)"
"Sahoo, Debashis","CSE 100 - Advanced Data Structures (A)","SP22","238","82","91.1%","75.9%","10.20","B+ (3.51)","B- (2.99)"
"Cao, Yingjun","CSE 100 - Advanced Data Structures (B)","SP22","194","83","94.9%","88.5%","10.63","B+ (3.42)","B (3.11)"
"Dasgupta, Sanjoy","CSE 101 - Design & Analysis of Algorithm (A)","SP22","190","92","90.1%","96.7%","9.23","B (3.28)","B (3.27)"
"Impagliazzo, Russell","CSE 101 - Design & Analysis of Algorithm (B)","SP22","189","86","85.5%","73.5%","8.50","B+ (3.35)","B (3.20)"
"Minnes Kemp, Mor Mia","CSE 105 - Theory of Computation (A)","SP22","376","162","89.6%","96.8%","8.51","B+ (3.44)","B (3.19)"
"Thome, Emmanuel","CSE 107 - Intro to Modern Cryptography (A)","SP22","119","50","51.1%","51.1%","10.92","B- (2.87)","B- (2.78)"
"Shang, Jingbo","CSE 109 - Intro to Programming Contests (A)","SP22","38","11","90.9%","90.9%","4.25","A (4.00)","N/A"
"Miranda, Gregory Joseph","CSE 11 - Accel. Intro to Programming (A)","SP22","156","48","81.4%","66.7%","8.83","B+ (3.67)","B- (2.96)"
"Miranda, Gregory Joseph","CSE 11 - Accel. Intro to Programming (B)","SP22","166","62","69.5%","68.4%","10.47","A- (3.71)","B (3.05)"
"Politz, Joseph Gibbs","CSE 110 - Software Engineering (A)","SP22","194","159","66.0%","96.2%","11.42","B+ (3.46)","B+ (3.36)"
"Griswold, William G.","CSE 110 - Software Engineering (B)","SP22","194","144","68.5%","62.7%","12.37","B+ (3.38)","B+ (3.31)"
"Powell, Thomas Allan","CSE 112 - Advanced Software Engineering (A)","SP22","137","39","92.1%","100.0%","7.64","B+ (3.68)","A- (3.77)"
"Cao, Yingjun","CSE 12 - Basic Data Struct & OO Design (A)","SP22","179","122","97.5%","97.5%","9.69","B+ (3.68)","B (3.20)"
"Cao, Yingjun","CSE 12 - Basic Data Struct & OO Design (B)","SP22","182","116","98.2%","98.2%","8.88","B+ (3.69)","B (3.28)"
"Miranda, Gregory Joseph","CSE 12 - Basic Data Struct & OO Design (C)","SP22","185","72","82.6%","66.2%","10.01","B+ (3.39)","B (3.06)"
"Zhou, Yuan-Yuan","CSE 120 - Princ/Computer Operating Systm (A)","SP22","193","148","91.2%","88.4%","11.31","B (3.24)","B- (2.72)"
"Shalev, Aaron D","CSE 123 - Computer Networks (A)","SP22","84","32","78.1%","93.8%","12.69","B- (2.82)","C+ (2.55)"
"Voelker, Geoffrey M.","CSE 125 - Software Sys Design & Implemnt (A)","SP22","33","19","100.0%","100.0%","12.39","A (4.00)","A (4.00)"
"Obaido, George Rabeshi","CSE 127 - Intro to Computer Security (A)","SP22","188","145","91.7%","67.4%","8.07","B+ (3.64)","A- (3.79)"
"Polikarpova, Nadezhda","CSE 130 - Progrmng Lang:Princpl&Paradigm (A)","SP22","174","79","89.0%","98.6%","8.16","B+ (3.50)","B (3.18)"
"Jhala, Ranjit","CSE 131 - Compiler Construction (A)","SP22","52","24","91.7%","87.5%","6.58","A- (3.78)","B+ (3.63)"
"Deutsch, Alin Bernard","CSE 132B - Database System Applications (A)","SP22","61","16","93.3%","85.7%","9.57","B+ (3.64)","A- (3.71)"
"Kumar, Arun Kumar","CSE 132C - Database System Implementation (A)","SP22","37","17","87.5%","93.3%","5.50","A- (3.80)","B+ (3.38)"
"Powell, Thomas Allan","CSE 135 - Online Database Analytics Appl (A)","SP22","161","50","74.0%","78.0%","12.17","B+ (3.37)","B (3.25)"
"Cheng, Chung Kuan","CSE 140 - Component&Desgn Tech/Digtl Sys (A)","SP22","202","85","81.2%","89.3%","8.40","B+ (3.56)","B+ (3.49)"
"Chin, Bryan W.","CSE 140L - Digital Systems Laboratory (A)","SP22","115","75","86.7%","96.0%","8.01","A- (3.74)","B+ (3.57)"
