"Instructor","Course","Term","Enroll","Evals Made","Rcmnd Class","Rcmnd Instr","Study Hrs/wk","Avg Grade Expected","Avg Grade Received"
"Gumm, Elizabeth Ashley","CAT 125 - Public Rhetoric & Pract Commun (B)","FA19","133","57","87.0%","94.3%","3.83","A- (3.75)","B+ (3.52)"
"Zhang, Kefei Kevin","CAT 125R - Pblc Rhetoric Prct Comm Online (A)","FA19","187","77","94.0%","92.3%","3.94","A- (3.87)","A- (3.78)"
"Macagno, Eduardo R.","CAT 87 - Freshman Seminar (A)","FA19","7","4","100.0%","100.0%","0.50","N/A","N/A"
"Smith, Ashley Elizabeth","CAT 125R - Pblc Rhetoric Prct Comm Online (A)","S219","113","97","90.7%","95.9%","4.25","A- (3.78)","B+ (3.62)"
"Gumm, Elizabeth Ashley","CAT 125R - Pblc Rhetoric Prct Comm Online (A)","S119","129","29","96.3%","100.0%","5.76","A- (3.82)","A- (3.74)"
"Pantoja, Jennifer Metten","CAT 125 - Public Rhetoric & Pract Commun (A)","SP19","192","146","80.1%","95.0%","3.60","B+ (3.59)","B+ (3.41)"
"Zhang, Kefei Kevin","CAT 125R - Pblc Rhetoric Prct Comm Online (A)","SP19","197","83","87.2%","93.5%","4.12","A- (3.78)","B+ (3.67)"
"Smith, Ashley Elizabeth","CAT 3 - Culture, Art & Technology III (A)","SP19","296","262","76.7%","75.9%","3.09","B+ (3.59)","A- (3.78)"
"Bigham, David Joseph","CAT 3 - Culture, Art & Technology III (B)","SP19","258","140","78.6%","96.9%","3.57","B+ (3.58)","B+ (3.40)"
"Gumm, Elizabeth Ashley","CAT 3 - Culture, Art & Technology III (C)","SP19","235","132","59.4%","83.6%","4.00","B+ (3.49)","B+ (3.48)"
"Bronstein, Phoebe Malan","CAT 3 - Culture, Art & Technology III (D)","SP19","253","239","79.8%","88.2%","4.77","B+ (3.62)","B+ (3.48)"
"Bronstein, Phoebe Malan","CAT 87 - Freshman Seminar (A)","SP19","12","9","100.0%","100.0%","2.25","N/A","N/A"
"Moran, Ryan James","CAT 124 - Sixth College Practicum (A)","WI19","7","3","100.0%","100.0%","5.83","A (4.00)","N/A"
"Ano, Michael Shigeya","CAT 125 - Public Rhetoric & Pract Commun (A)","WI19","175","112","82.4%","86.8%","3.83","B+ (3.66)","B+ (3.59)"
"Zhang, Kefei Kevin","CAT 125R - Pblc Rhetoric Prct Comm Online (A)","WI19","182","96","87.4%","94.1%","3.76","A- (3.79)","A- (3.73)"
"Nguyen, Hoang Tan","CAT 2 - Culture, Art & Technology 2 (A)","WI19","199","130","81.8%","86.2%","3.69","B+ (3.47)","B+ (3.49)"
"Thorpe, Charles Robert","CAT 2 - Culture, Art & Technology 2 (B)","WI19","157","116","45.7%","47.8%","4.64","B+ (3.31)","B (3.23)"
"Gumm, Elizabeth Ashley","CAT 2 - Culture, Art & Technology 2 (C)","WI19","195","134","70.8%","76.6%","4.36","B (3.20)","B (3.03)"
"Bronstein, Phoebe Malan","CAT 2 - Culture, Art & Technology 2 (D)","WI19","292","277","89.5%","94.2%","4.67","B+ (3.52)","B+ (3.47)"
"Bigham, David Joseph","CAT 2 - Culture, Art & Technology 2 (E)","WI19","195","124","85.0%","96.7%","4.12","B+ (3.50)","B+ (3.49)"
"Bronstein, Phoebe Malan","CAT 87 - Freshman Seminar (A)","WI19","16","8","100.0%","100.0%","2.00","B (3.00)","N/A"
"Bigham, David Joseph","CAT 1 - Culture, Art & Technology 1 (A)","FA18","194","134","86.2%","95.8%","3.82","B+ (3.54)","B+ (3.39)"
"Bronstein, Phoebe Malan","CAT 1 - Culture, Art & Technology 1 (B)","FA18","194","187","89.7%","94.6%","4.62","B+ (3.42)","B+ (3.39)"
"Glaser, Amelia","CAT 1 - Culture, Art & Technology 1 (C)","FA18","163","147","55.8%","79.6%","4.31","B+ (3.40)","B+ (3.55)"
"Borgo, David Garcia","CAT 1 - Culture, Art & Technology 1 (D)","FA18","170","163","75.8%","88.2%","3.56","B+ (3.49)","B+ (3.56)"
