"Instructor","Course","Term","Enroll","Evals Made","Rcmnd Class","Rcmnd Instr","Study Hrs/wk","Avg Grade Expected","Avg Grade Received"
"Orenstein, Eric Coughlin","SIO 187 - Stat Methods in Marine Biology (A)","SP20","64","51","96.1%","100.0%","5.95","B+ (3.62)","B+ (3.38)"
"Gaasterland, Theresa","SIO 190 - Special Topic/Earth/Ocean/Atmo (A)","SP20","8","5","100.0%","100.0%","3.30","A- (3.80)","N/A"
"Cook, Geoffrey W","SIO 50 - Intro/Earth&Environmental Sci (A)","SP20","40","21","100.0%","100.0%","5.45","A- (3.84)","B+ (3.64)"
"Cook, Geoffrey W","SIO 87 - Freshman Seminar (A)","SP20","17","8","100.0%","100.0%","1.00","B+ (3.67)","N/A"
"Cook, Geoffrey W","SIO 87 - Freshman Seminar (B)","SP20","20","14","100.0%","100.0%","0.50","A (4.00)","N/A"
"Forsch, Kiefer Otto","SIO 90 - Undergraduate Seminar (A)","SP20","43","12","91.7%","100.0%","1.67","A (4.00)","N/A"
"Pommier, Anne A.","SIO 1 - The Planets (A)","WI20","132","45","61.0%","75.0%","4.17","B- (2.78)","B (3.23)"
"Day, James M.D.","SIO 102 - Introduction to Geochemistry (A)","WI20","30","14","78.6%","78.6%","5.79","B (3.07)","B (3.23)"
"Kastner, Miriam","SIO 102 - Introduction to Geochemistry (A)","WI20","30","14","78.6%","78.6%","5.79","B (3.07)","B (3.23)"
"Constable, Steven C","SIO 103 - Introduction to Geophysics (A)","WI20","58","30","84.6%","82.4%","8.50","B (3.07)","B (3.09)"
"Parnell-Turner, Ross Ernes","SIO 103 - Introduction to Geophysics (A)","WI20","29","15","84.6%","100.0%","8.50","B (3.07)","B (3.09)"
"Norris, Richard D.","SIO 104 - Paleobiology & History of Life (A)","WI20","19","9","100.0%","100.0%","4.94","B (3.22)","N/A"
"Forman, Fonna","SIO 109 - Bending/Curve: Climate Change (A)","WI20","25","9","88.9%","88.9%","4.06","B+ (3.56)","A (4.00)"
"Ramanathan, Veerabhadran","SIO 109 - Bending/Curve: Climate Change (A)","WI20","25","9","88.9%","100.0%","4.06","B+ (3.56)","A (4.00)"
"Fricker, Helen A.","SIO 115 - Ice and the Climate System (A)","WI20","14","14","100.0%","92.9%","5.07","B+ (3.31)","N/A"
"Benmarhnia, Tarik","SIO 116 - Climate Change & Global Health (A)","WI20","27","15","100.0%","100.0%","1.97","A- (3.93)","A- (3.77)"
"Andersson, Andreas Jerry","SIO 119 - Physics and Chem of the Oceans (A)","WI20","112","106","57.5%","87.6%","4.84","B (3.06)","B (3.27)"
"Gille, Sarah T","SIO 119 - Physics and Chem of the Oceans (A)","WI20","112","106","57.5%","33.0%","4.84","B (3.06)","B (3.27)"
"Cook, Geoffrey W","SIO 120 - Introduction to Mineralogy (A)","WI20","20","15","100.0%","100.0%","4.77","A- (3.73)","A- (3.87)"
"Jensen, Paul R.","SIO 124 - Marine Natural Products (A)","WI20","43","19","60.0%","80.0%","5.75","B- (2.87)","B (3.17)"
"Palenik, Brian","SIO 126 - Marine Microbiology (A)","WI20","53","25","66.7%","75.0%","5.33","B- (2.92)","C+ (2.54)"
"Barton, Andrew David","SIO 134 - Intro/Biological Oceanography (A)","WI20","145","69","97.0%","97.0%","5.07","B+ (3.33)","B (3.08)"
"Palenik, Brian","SIO 139 - Current Research in Marine Bio (A)","WI20","63","31","41.9%","60.0%","1.73","A (4.00)","N/A"
"Andersson, Andreas Jerry","SIO 143 - Ocean Acidification (A)","WI20","13","10","100.0%","100.0%","3.70","B+ (3.44)","N/A"
"Lyons, Deirdre Colleen","SIO 146 - Cell and Dev. Bio. Lab (A)","WI20","14","8","87.5%","100.0%","4.00","B+ (3.57)","N/A"
"Evan, Amato Tomas","SIO 172 - Physics of the Atmosphere (A)","WI20","19","9","66.7%","88.9%","5.61","B+ (3.56)","N/A"
"Becker, Janet Maria","SIO 178 - Geophysical Fluid Dynamics (A)","WI20","8","5","100.0%","100.0%","10.50","B+ (3.60)","N/A"
"Paulenich, Cari Lynn","SIO 180 - Communicating Science/Inf Aud (A)","WI20","11","8","100.0%","100.0%","3.50","A (4.00)","N/A"
"Smith, Jennifer","SIO 183 - Phycology: Marine Plant Biolgy (A)","WI20","24","11","100.0%","100.0%","5.05","B+ (3.45)","B (3.19)"
"Brahamsha, Bianca M.","SIO 185 - Marine Microbiology Laboratory (A)","WI20","16","9","100.0%","88.9%","6.06","B (3.00)","N/A"
"Kacev, David","SIO 187 - Stat Methods in Marine Biology (A)","WI20","69","51","98.0%","100.0%","6.21","B+ (3.34)","B+ (3.51)"
"Hastings, Philip A.","SIO 188 - Biology of Fishes (A)","WI20","29","15","93.3%","86.7%","6.23","B (3.00)","B (3.17)"
"Gabriel, Corey John","SIO 190 - Special Topic/Earth/Ocean/Atmo (A)","WI20","9","4","75.0%","100.0%","2.00","A (4.00)","N/A"
"Norris, Joel Roland","SIO 20 - The Atmosphere (A)","WI20","123","43","66.7%","78.6%","4.07","B (3.03)","B (3.01)"
"Teranes, Jane","SIO 25 - Climate Change and Society (A)","WI20","119","47","97.8%","97.7%","3.43","B+ (3.59)","B (3.08)"
"Aburto Oropeza, Marco Octavio","SIO 3 - Life in the Oceans (A)","WI20","74","24","87.0%","91.3%","2.83","B+ (3.36)","A- (3.72)"
"Driscoll, Neal W.","SIO 35 - Water (A)","WI20","203","87","89.4%","90.4%","2.57","B+ (3.41)","B+ (3.38)"
"Cook, Geoffrey W","SIO 45 - Volcanoes (A)","WI20","126","59","96.5%","98.2%","2.57","A- (3.80)","A- (3.82)"
"Cook, Geoffrey W","SIO 87 - Freshman Seminar (A)","WI20","14","11","100.0%","100.0%","0.50","A (4.00)","N/A"
"Sandin, Stuart Adrian","SIO 87 - Freshman Seminar (B)","WI20","20","14","100.0%","100.0%","0.67","A (4.00)","N/A"
"Kolody, Bethany Cristine","SIO 90 - Undergraduate Seminar (A)","WI20","62","32","90.6%","100.0%","0.63","A (4.00)","N/A"
"Gee, Jeffrey S","SIO 100 - Introduction to Field Methods (A)","FA19","29","13","92.3%","100.0%","8.35","A- (3.92)","B+ (3.56)"
"Norris, Richard D.","SIO 100 - Introduction to Field Methods (A)","FA19","29","13","92.3%","100.0%","8.35","A- (3.92)","B+ (3.56)"
"Aluwihare, Lihini","SIO 101 - California Coast Oceanography (A)","FA19","30","15","33.3%","80.0%","8.37","C+ (2.60)","B (3.04)"
"Landry, Michael Raymond","SIO 101 - California Coast Oceanography (A)","FA19","30","15","33.3%","33.3%","8.37","C+ (2.60)","B (3.04)"
"Brown, Kevin Michael","SIO 106 - Introduction to Hydrogeology (A)","FA19","23","14","78.6%","64.3%","5.64","B (3.29)","B (3.30)"
"Willenbring, Jane Kathryn","SIO 106 - Introduction to Hydrogeology (A)","FA19","23","14","78.6%","100.0%","5.64","B (3.29)","B (3.30)"
"Teranes, Jane","SIO 108 - Intro to Paleoclimatology (A)","FA19","18","14","92.9%","100.0%","4.93","B+ (3.33)","N/A"
"Batchelor, Heidi Ann","SIO 110 - Intro GIS & GPS for Scientists (A)","FA19","22","10","100.0%","100.0%","3.50","A- (3.90)","A- (3.95)"
"Keeling, Ralph F.","SIO 117 - Physical Basis/Global Warming (A)","FA19","34","17","70.6%","68.8%","4.26","B+ (3.47)","B (3.20)"
"Durkin, Kathryn Elaine","SIO 12 - History of Earth & Evolution (A)","FA19","116","48","73.3%","67.4%","4.15","B (3.21)","B (3.25)"
"Peach, Cheryl","SIO 12 - History of Earth & Evolution (A)","FA19","116","50","74.5%","97.8%","4.08","B (3.23)","B (3.25)"
"Hechinger, Ryan F.","SIO 132 - Introduction to Marine Biology (A)","FA19","181","97","96.6%","94.3%","4.87","B (3.23)","C+ (2.70)"
"Kacev, David","SIO 132 - Introduction to Marine Biology (A)","FA19","181","97","96.6%","100.0%","4.87","B (3.23)","C+ (2.70)"
"Baumann-Pickering , Simone","SIO 136 - Marine Biology Laboratory (A)","FA19","36","34","94.1%","97.1%","6.21","B+ (3.35)","B+ (3.48)"
"Bowman, Jeff Shovlowsky","SIO 136 - Marine Biology Laboratory (A)","FA19","36","34","94.1%","76.5%","6.21","B+ (3.35)","B+ (3.48)"
"Kacev, David","SIO 136 - Marine Biology Laboratory (A)","FA19","36","34","94.1%","100.0%","6.21","B+ (3.35)","B+ (3.48)"
"Wegner, Nicholas Craig","SIO 136 - Marine Biology Laboratory (A)","FA19","36","34","94.1%","97.0%","6.21","B+ (3.35)","B+ (3.48)"
"Baumann-Pickering , Simone","SIO 136 - Marine Biology Laboratory (B)","FA19","36","34","97.1%","90.9%","5.29","B (3.21)","B+ (3.31)"
"Bowman, Jeff Shovlowsky","SIO 136 - Marine Biology Laboratory (B)","FA19","36","34","97.1%","72.7%","5.29","B (3.21)","B+ (3.31)"
"Kacev, David","SIO 136 - Marine Biology Laboratory (B)","FA19","36","34","97.1%","100.0%","5.29","B (3.21)","B+ (3.31)"
"Wegner, Nicholas Craig","SIO 136 - Marine Biology Laboratory (B)","FA19","36","34","97.1%","90.9%","5.29","B (3.21)","B+ (3.31)"
"Choy, Carolyn Anela","SIO 137 - Ecosystems & Fisheries (A)","FA19","38","35","94.3%","97.1%","4.04","B+ (3.46)","B+ (3.62)"
"Laske, Gabi","SIO 15 - Natural Disasters (A)","FA19","365","137","98.4%","97.6%","3.58","A- (3.78)","B+ (3.64)"
"Cook, Geoffrey W","SIO 170 - Introduction to Volcanology (A)","FA19","15","11","100.0%","100.0%","4.86","B+ (3.64)","N/A"
"Rudnick, Daniel Lars","SIO 171 - Intro to Physical Oceanography (A)","FA19","21","9","100.0%","100.0%","4.28","A- (3.89)","B (3.29)"
"Becker, Janet Maria","SIO 177 - Fluid Dynamics (A)","FA19","12","9","88.9%","100.0%","5.75","B (3.11)","N/A"
"Martz, Todd R.","SIO 179 - Ocean Instruments and Sensors (B)","FA19","12","7","100.0%","100.0%","3.07","A (4.00)","N/A"
"Hamdoun, Amr","SIO 189 - Pollution, Environmnt & Health (A)","FA19","51","30","96.6%","100.0%","4.03","B (3.11)","B (3.00)"
"Castillo, Paterno R.","SIO 30 - The Oceans (A)","FA19","132","54","68.6%","85.4%","3.67","B (3.22)","B (3.24)"
"Holland, Nicholas D.","SIO 30 - The Oceans (A)","FA19","132","54","68.6%","91.7%","3.67","B (3.22)","B (3.24)"
"Send, Uwe","SIO 30 - The Oceans (A)","FA19","132","55","69.2%","82.0%","3.60","B (3.21)","B (3.24)"
"Barbeau, Katherine","SIO 40 - Life and Climate on Earth (A)","FA19","156","142","98.6%","94.3%","3.00","B+ (3.59)","B+ (3.66)"
"Cook, Geoffrey W","SIO 50 - Intro/Earth&Environmental Sci (A)","FA19","38","25","100.0%","100.0%","4.10","B+ (3.54)","B (3.25)"
"Lucas, Andrew J.","SIO 60 - Exp/Oceanic & Atmospheric Sci (A)","FA19","25","21","95.2%","100.0%","6.98","B+ (3.40)","B+ (3.48)"
"Ricke, Katharine L","SIO 60 - Exp/Oceanic & Atmospheric Sci (A)","FA19","25","21","95.2%","100.0%","6.98","B+ (3.40)","B+ (3.48)"
"Cook, Geoffrey W","SIO 87 - Freshman Seminar (B)","FA19","17","9","88.9%","100.0%","0.50","A (4.00)","N/A"
"Kwan, Garfield Tsz Fung","SIO 90 - Undergraduate Seminar (A)","FA19","52","26","100.0%","100.0%","0.73","A- (3.75)","N/A"
"Giddings, Kimberly Ashlyn Ave","SIO 133 - Marine Mammal Biology (A)","S219","32","31","96.8%","96.8%","5.85","B (3.27)","B (3.25)"
"White, Margot Elizabeth","SIO 40 - Life and Climate on Earth (A)","S219","26","25","100.0%","100.0%","4.74","A- (3.84)","A- (3.93)"
"Cook, Geoffrey W","SIO 10GS - The Earth (In Iceland) (A)","S119","18","18","100.0%","100.0%","2.83","A- (3.89)","N/A"
"Nagarkar, Maitreyi Dnyanadeep","SIO 132 - Introduction to Marine Biology (A)","S119","29","13","100.0%","100.0%","6.19","B+ (3.38)","B- (2.99)"
"Cook, Matthew James","SIO 15 - Natural Disasters (A)","S119","30","13","100.0%","100.0%","4.50","B+ (3.50)","B (3.12)"
"Cook, Geoffrey W","SIO 170GS - Introduction to Volcanology (A)","S119","18","18","100.0%","100.0%","3.94","A- (3.89)","N/A"
"Borsa, Adrian Antal","SIO 10 - The Earth (A)","SP19","195","101","95.0%","99.0%","3.72","B (3.23)","B+ (3.34)"
"Norris, Richard D.","SIO 104 - Paleobiology & History of Life (A)","SP19","35","23","100.0%","100.0%","5.32","B (3.10)","B (3.23)"
"Driscoll, Neal W.","SIO 105 - Sedimentology & Stratigraphy (A)","SP19","20","5","100.0%","100.0%","4.50","A (4.00)","A- (3.78)"
"Taylor, Jennifer Rebecca","SIO 125 - Biomechanics of Marine Life (A)","SP19","20","9","100.0%","100.0%","7.17","B+ (3.56)","B+ (3.67)"
"Burton, Ronald S.","SIO 127 - Marine Molecular Ecology (A)","SP19","31","12","100.0%","100.0%","2.68","B- (2.73)","B- (2.82)"
"Bartlett, Douglas H","SIO 128 - Microbial Life in Extreme Env. (A)","SP19","119","61","94.8%","93.1%","4.95","B (3.18)","B (3.10)"
"Baumann-Pickering , Simone","SIO 133 - Marine Mammal Biology (A)","SP19","115","52","74.5%","72.3%","6.54","B (3.17)","B (3.15)"
"Sandwell, David T","SIO 135 - Satellite Remote Sensing (A)","SP19","32","13","91.7%","100.0%","8.00","B+ (3.50)","B+ (3.45)"
"Smith, Jennifer","SIO 138 - The Coral Reef Environment (A)","SP19","65","25","87.5%","100.0%","4.08","B (3.29)","B (3.22)"
"Palenik, Brian","SIO 139 - Current Research in Marine Bio (A)","SP19","55","24","52.2%","82.6%","2.85","N/A","N/A"
"Andersson, Andreas Jerry","SIO 143 - Ocean Acidification (A)","SP19","17","12","100.0%","100.0%","4.14","B+ (3.55)","N/A"
"Gee, Jeffrey S","SIO 16 - Geology of the National Parks (A)","SP19","85","29","80.8%","92.3%","3.12","B (3.22)","B- (2.99)"
"Fialko, Yuri A.","SIO 160 - Intro to Global Tectonics (A)","SP19","28","7","83.3%","83.3%","4.50","B (3.00)","B+ (3.47)"
"Severinghaus, Jeffrey P.","SIO 174 - Chemistry of Atmosph and Ocean (B)","SP19","19","9","71.4%","71.4%","4.50","B (3.25)","N/A"
"Straneo, Fiammetta","SIO 176 - Observ Physical Oceanography (A)","SP19","9","5","100.0%","100.0%","5.30","B+ (3.60)","N/A"
"Tresguerres, Martin","SIO 181 - Marine Biochemistry (A)","SP19","113","56","96.4%","100.0%","5.00","B (3.25)","B+ (3.34)"
"Constable, Steven C","SIO 182 - Envr & Exploration Geophysics (A)","SP19","9","3","66.7%","66.7%","11.83","B+ (3.67)","N/A"
"Rouse, Gregory W.","SIO 184 - Marine Invertebrates (A)","SP19","36","33","97.0%","100.0%","4.62","B (3.27)","B (3.30)"
"Orenstein, Eric Coughlin","SIO 187 - Stat Methods in Marine Biology (A)","SP19","71","58","87.9%","93.1%","5.88","B (3.14)","B (3.06)"
"Gaasterland, Theresa","SIO 190 - Special Topic/Earth/Ocean/Atmo (A)","SP19","10","3","100.0%","100.0%","3.17","A (4.00)","N/A"
"Cook, Geoffrey W","SIO 50 - Intro/Earth&Environmental Sci (A)","SP19","36","21","100.0%","95.2%","4.69","B+ (3.57)","B (3.28)"
"Cook, Geoffrey W","SIO 87 - Freshman Seminar (A)","SP19","20","9","100.0%","100.0%","0.50","A (4.00)","N/A"
"Cook, Geoffrey W","SIO 87 - Freshman Seminar (B)","SP19","15","9","100.0%","100.0%","0.50","A (4.00)","N/A"
"Moore, Bradley S.","SIO 87 - Freshman Seminar (C)","SP19","8","4","100.0%","100.0%","0.50","A (4.00)","N/A"
"Fine, Elizabeth Coombs","SIO 90 - Undergraduate Seminar (A)","SP19","61","30","100.0%","100.0%","0.64","A (4.00)","N/A"
"Pommier, Anne A.","SIO 1 - The Planets (A)","WI19","109","48","73.8%","76.2%","3.69","B- (2.87)","B+ (3.35)"
"Kastner, Miriam","SIO 102 - Introduction to Geochemistry (A)","WI19","31","12","83.3%","83.3%","7.83","B- (2.92)","B (3.10)"
"Constable, Steven C","SIO 103 - Introduction to Geophysics (A)","WI19","22","10","60.0%","90.0%","7.10","B- (2.70)","B- (2.89)"
"Masters, Thomas G","SIO 103 - Introduction to Geophysics (A)","WI19","22","10","60.0%","70.0%","7.10","B- (2.70)","B- (2.89)"
"Forman, Fonna","SIO 109 - Climate Change Solutions (A)","WI19","24","14","84.6%","100.0%","4.21","B+ (3.42)","B+ (3.62)"
"Ramanathan, Veerabhadran","SIO 109 - Climate Change Solutions (A)","WI19","23","14","84.6%","83.3%","4.21","B+ (3.42)","B+ (3.62)"
"Minster, Jean Bernard H.","SIO 110 - Intro GIS & GPS for Scientists (A)","WI19","30","12","90.9%","90.9%","3.30","B+ (3.60)","A- (3.76)"
"Tauxe, Lisa","SIO 113 - Intro to Computationl Erth Sci (A)","WI19","18","12","100.0%","100.0%","10.33","A- (3.73)","N/A"
"Fricker, Helen A.","SIO 115 - Ice and the Climate System (A)","WI19","28","26","84.6%","88.5%","4.73","B+ (3.44)","B+ (3.61)"
"Benmarhnia, Tarik","SIO 116 - Climate Change & Global Health (A)","WI19","20","10","100.0%","100.0%","2.50","A- (3.75)","A- (3.85)"
"Andersson, Andreas Jerry","SIO 119 - Physics and Chem of the Oceans (A)","WI19","74","66","66.7%","89.1%","5.35","B (3.17)","B (3.04)"
"Gille, Sarah T","SIO 119 - Physics and Chem of the Oceans (A)","WI19","71","66","66.7%","73.4%","5.35","B (3.17)","B (3.04)"
"Cook, Geoffrey W","SIO 120 - Introduction to Mineralogy (A)","WI19","21","18","94.4%","100.0%","4.94","B+ (3.59)","B+ (3.47)"
"Lyons, Deirdre Colleen","SIO 122 - Ecological Developmental Bio (A)","WI19","12","9","100.0%","100.0%","4.28","B+ (3.56)","N/A"
