"Instructor","Course","Term","Enroll","Evals Made","Rcmnd Class","Rcmnd Instr","Study Hrs/wk","Avg Grade Expected","Avg Grade Received"
"Bratton, Benjamin H.","ICAM 150 - History of Art and Technology (A)","WI13","36","19","63.2%","78.9%","5.45","B (3.25)","B+ (3.47)"
"Brown, Sheldon Glenn","ICAM 160A - Senior Projct/Computing Arts I (A)","WI13","17","6","100.0%","100.0%","7.17","B+ (3.50)","N/A"
"Otto, Peter G","ICAM 160A - Senior Projct/Computing Arts I (B)","WI13","10","4","100.0%","100.0%","6.00","A (4.00)","N/A"
"Steiger, Rand","ICAM 160A - Senior Projct/Computing Arts I (C)","WI13","9","4","100.0%","100.0%","5.50","A (4.00)","N/A"
"Stalbaum, Brett","ICAM 40 - Introduction/Computing in Arts (A)","WI13","31","19","88.9%","94.4%","4.38","B+ (3.44)","B+ (3.31)"
"Bratton, Benjamin H.","ICAM 101 - Digtl Imaging:Image&Interactiv (A)","FA12","16","9","37.5%","75.0%","4.75","B+ (3.50)","N/A"
"Paul, Ian Alen","ICAM 102 - Time&Process Digital Media I (A)","FA12","25","13","50.0%","66.7%","3.70","B+ (3.64)","A- (3.81)"
"Stalbaum, Brett","ICAM 40 - Introduction/Computing in Arts (A)","FA12","39","24","73.9%","78.3%","5.80","B+ (3.67)","B (3.20)"
"Margolis, Todd B","ICAM 101   - Digtl Imaging:Image&Interactiv (A)","SP12","33","4","50.0%","50.0%","5.50","B+ (3.50)","A- (3.72)"
"Margolis, Todd B","ICAM 101   - Digtl Imaging:Image&Interactiv (A)","SP12","34","18","83.3%","77.8%","4.97","B+ (3.44)","A- (3.72)"
"Crandall, Jordan","ICAM 110   - Computing/Arts: Current Pract  (A)","SP12","59","22","52.4%","42.9%","2.88","B+ (3.53)","A- (3.82)"
"Bratton, Benjamin H.","ICAM 130   - Contemporary Computer Topics   (B)","SP12","7","3","100.0%","100.0%","5.17","B+ (3.67)","N/A"
"Manovich, Lev Z","ICAM 130   - Contemporary Computer Topics   (B)","SP12","8","5","80.0%","80.0%","5.30","B (3.00)","N/A"
"Bratton, Benjamin H.","ICAM 130   - Contemporary Computer Topics   (C)","SP12","7","3","100.0%","100.0%","5.17","B+ (3.67)","N/A"
"Manovich, Lev Z","ICAM 130   - Contemporary Computer Topics   (C)","SP12","8","5","80.0%","80.0%","5.30","B (3.00)","N/A"
"Manovich, Lev Z","ICAM 130   - Contemporary Computer Topics   (C)","SP12","5","4","100.0%","100.0%","9.00","A- (3.75)","N/A"
"Brown, Sheldon Glenn","ICAM 160B  - Senior Prjct/Computing Arts II (A)","SP12","14","4","100.0%","100.0%","11.50","B+ (3.50)","N/A"
